Timestamp,r_ref,yaw_integrator,q_ref,curr_ax,curr_roll_rate,curr_pitch_rate,curr_yaw_rate,curr_qw,curr_qx,curr_qy,curr_qz,thrust_ref,p_ref,omega_L_ref,omega_R_ref,servo_L_ref,servo_R_ref,Temperature,Voltage,Current,RPM2,RPM4,Throttle2,Throttle4,ErrorCodes
57291,-0.148,-4031474.000,-0.283,1.380,-0.023,0.028,-0.074,0.724,-0.161,-0.653,-0.150,0.000,-0.001,0,2023,9,-8,0,0.000,0.000,0,0,0,0,0
57390,-0.108,-4155768.250,-0.223,-0.050,0.283,-0.227,0.008,0.718,-0.155,-0.663,-0.147,0.000,-0.000,0,3359,-6,-11,0,0.000,0.000,0,0,0,0,0
57490,-0.083,-4383341.500,-0.171,0.130,0.459,-0.200,-0.204,0.714,-0.141,-0.672,-0.134,0.000,-0.000,2669,0,-8,-13,0,0.000,0.000,0,0,0,0,0
57590,0.030,-3539140.750,-0.137,0.230,0.496,-0.158,-0.247,0.712,-0.115,-0.681,-0.126,0.000,0.000,3263,0,-8,-13,0,0.000,0.000,0,0,0,0,0
57690,0.107,-2627397.500,-0.097,-0.180,0.571,0.057,-0.081,0.709,-0.091,-0.690,-0.113,0.000,0.001,1595,0,-3,-22,0,0.000,0.000,305,305,0,0,0
57790,0.150,-1916043.375,-0.102,-0.230,0.869,-0.056,-0.084,0.713,-0.062,-0.692,-0.091,0.000,0.001,3092,0,-19,-25,0,0.000,0.000,305,305,0,0,0
57890,0.190,-1028153.188,-0.053,-0.100,0.788,-0.250,-0.029,0.710,-0.031,-0.700,-0.065,0.000,0.000,2573,0,-19,-13,0,0.000,0.000,305,305,0,0,0
57990,0.201,-255225.312,0.008,-0.010,0.711,-0.188,0.011,0.705,-0.005,-0.708,-0.040,0.000,-0.000,2423,0,-16,-13,0,0.000,0.000,305,305,0,0,0
58090,0.202,480575.875,0.057,-0.310,0.783,-0.087,-0.037,0.700,0.020,-0.714,-0.015,0.000,-0.000,3305,0,-17,-19,0,0.000,0.000,305,305,0,0,0
58190,0.194,1276370.000,0.088,-0.560,0.592,0.031,-0.003,0.697,0.045,-0.716,0.010,0.000,-0.001,2875,0,-9,-16,0,0.000,0.000,305,305,0,0,0
