Timestamp,r_ref,q_ref,curr_ax,curr_roll_rate,curr_pitch_rate,curr_yaw_rate,curr_qw,curr_qx,curr_qy,curr_qz,thrust_ref,p_ref,omega_L_ref,omega_R_ref,servo_L_ref,servo_R_ref,Temperature,Voltage,Current,RPM2,RPM4,Throttle2,Throttle4,ErrorCodes
95386,0.384,0.314,0.150,-0.007,0.174,0.057,0.470,-0.476,-0.571,-0.476,0.000,-0.000,4891,0,1,4,0,0.000,0.000,0,0,0,0,0
95485,0.365,0.380,-0.030,-0.157,-0.377,0.098,0.463,-0.484,-0.573,-0.471,0.000,0.002,4598,0,-13,26,0,0.000,0.000,0,0,0,0,0
95585,0.338,0.361,-0.190,-0.100,0.196,0.049,0.464,-0.488,-0.566,-0.475,0.000,0.002,5081,0,0,6,0,0.000,0.000,0,0,0,0,0
95685,0.309,0.308,0.050,0.027,-0.004,0.003,0.470,-0.487,-0.560,-0.478,0.000,0.001,5202,0,-10,9,0,0.000,0.000,0,0,0,0,0
95785,0.247,0.246,0.040,-0.039,0.031,0.067,0.479,-0.487,-0.551,-0.479,0.000,0.001,4347,0,-3,9,0,0.000,0.000,0,0,0,0,0
95885,0.189,0.199,0.130,-0.070,-0.007,0.071,0.485,-0.489,-0.542,-0.481,0.000,0.001,4334,0,-4,10,0,0.000,0.000,0,0,0,0,0
95985,0.124,0.135,0.040,0.023,-0.198,-0.020,0.494,-0.489,-0.533,-0.482,0.000,0.000,4566,0,-11,11,0,0.000,0.000,305,305,0,0,0
96085,0.111,0.179,-0.010,0.003,-0.293,-0.004,0.492,-0.492,-0.537,-0.477,0.000,0.001,4281,0,-12,16,0,0.000,0.000,305,305,0,0,0
96185,0.112,0.247,-0.040,0.014,-0.207,-0.042,0.486,-0.497,-0.542,-0.471,0.000,0.002,4667,0,-11,14,0,0.000,0.000,305,305,0,0,0
96285,0.105,0.259,-0.090,0.014,0.102,0.010,0.486,-0.498,-0.543,-0.470,0.000,0.002,4253,0,-3,5,0,0.000,0.000,305,305,0,0,0
