Timestamp,r_ref,yaw_integrator,q_ref,curr_ax,curr_roll_rate,curr_pitch_rate,curr_yaw_rate,curr_qw,curr_qx,curr_qy,curr_qz,thrust_ref,p_ref,omega_L_ref,omega_R_ref,servo_L_ref,servo_R_ref,Temperature,Voltage,Current,RPM2,RPM4,Throttle2,Throttle4,ErrorCodes
79255,0.428,11558117.000,0.124,-0.130,-0.033,0.312,0.013,0.466,-0.479,-0.540,-0.512,0.000,-0.001,5313,0,8,-6,0,0.000,0.000,0,0,0,0,0
79354,0.431,13079838.000,0.009,0.110,0.017,0.683,-0.002,0.476,-0.469,-0.531,-0.521,0.000,-0.000,5532,0,20,-21,0,0.000,0.000,0,0,0,0,0
79454,0.437,14645924.000,-0.196,0.090,0.007,0.569,0.007,0.494,-0.450,-0.515,-0.537,0.000,0.006,5605,0,17,-17,0,0.000,0.000,0,0,0,0,0
79554,0.436,16175742.000,-0.094,0.140,0.003,-0.749,0.016,0.486,-0.458,-0.524,-0.529,0.000,0.002,5690,0,-21,21,0,0.000,0.000,0,0,0,0,0
79654,0.431,17646000.000,-0.090,-0.200,0.004,0.088,0.003,0.486,-0.459,-0.524,-0.528,0.000,0.002,5912,0,6,-6,0,0.000,0.000,305,305,0,0,0
79754,0.422,19061696.000,-0.066,0.330,-0.006,0.032,0.008,0.484,-0.462,-0.525,-0.526,0.000,0.001,6115,0,2,-3,0,0.000,0.000,305,305,0,0,0
79854,0.415,20498036.000,0.035,0.010,-0.082,0.104,0.112,0.475,-0.472,-0.532,-0.518,0.000,-0.001,5342,0,12,-6,0,0.000,0.000,305,305,0,0,0
79954,0.405,21805114.000,-0.219,-0.310,-0.011,-0.182,0.017,0.497,-0.451,-0.510,-0.538,0.000,0.006,6103,0,-10,10,0,0.000,0.000,305,305,0,0,0
80054,0.384,23012380.000,-0.107,0.330,-0.014,0.789,0.039,0.490,-0.461,-0.519,-0.527,0.000,0.002,6066,0,33,-34,0,0.000,0.000,305,305,0,0,0
80154,0.389,24408352.000,-0.188,-0.110,-0.013,-0.946,-0.013,0.496,-0.454,-0.517,-0.530,0.000,0.004,6388,0,-25,28,0,0.000,0.000,305,305,0,0,0
80254,0.381,25683210.000,-0.192,-0.370,-0.018,0.748,0.014,0.500,-0.451,-0.514,-0.531,0.000,0.005,6352,0,30,-28,0,0.000,0.000,305,305,0,0,0
80354,0.391,27119740.000,-0.156,0.270,0.087,-0.327,-0.063,0.497,-0.453,-0.518,-0.529,0.000,0.004,6860,0,-7,2,0,0.000,0.000,305,305,0,0,0
80454,0.385,28536146.000,-0.092,0.030,-0.029,-0.227,0.030,0.493,-0.458,-0.524,-0.522,0.000,0.002,6400,0,0,3,0,0.000,0.000,305,305,0,0,0
