Timestamp,r_ref,q_ref,curr_ax,curr_roll_rate,curr_pitch_rate,curr_yaw_rate,curr_qw,curr_qx,curr_qy,curr_qz,ax_ref,p_ref,pitch_ref,yaw_ref,omega_L_ref,omega_R_ref,servo_L_ref,servo_R_ref,Temperature,Voltage,RPM2,RPM4,ErrorCodes
65774,0.190,0.447,0.010,-0.003,-0.010,-0.001,0.455,0.568,-0.501,0.468,-0.200,0.005,0.149,0.048,0,3985,30,-30,0,0.000,0,0,0
65874,0.230,0.506,-0.240,-0.002,0.004,-0.001,0.456,0.571,-0.506,0.457,-0.200,0.006,0.166,0.058,0,4334,25,-24,0,0.000,0,0,0
65974,0.233,0.401,0.130,0.000,0.006,-0.000,0.466,0.563,-0.498,0.467,-0.200,0.005,0.131,0.058,0,4080,14,-13,0,0.000,0,0,0
66074,0.240,0.383,0.110,0.000,-0.009,-0.000,0.465,0.564,-0.498,0.466,-0.200,0.006,0.132,0.060,0,4174,21,-21,0,0.000,0,0,0
66174,0.234,0.568,-0.120,-0.001,-0.009,0.000,0.449,0.578,-0.512,0.449,-0.200,0.007,0.194,0.059,0,4037,38,-38,0,0.000,305,305,0
66274,0.249,0.605,0.450,-0.002,0.001,-0.001,0.450,0.579,-0.514,0.445,-0.200,0.008,0.201,0.063,0,4547,33,-33,0,0.000,305,305,0
66374,0.241,0.567,0.170,-0.000,0.003,-0.001,0.453,0.575,-0.513,0.448,-0.200,0.007,0.187,0.061,0,4091,28,-28,0,0.000,305,305,0
66474,0.221,0.509,0.000,-0.001,0.002,0.001,0.458,0.568,-0.511,0.455,-0.200,0.006,0.169,0.055,0,3894,25,-25,0,0.000,305,305,0
66574,0.165,0.505,0.050,-0.003,-0.001,0.004,0.456,0.561,-0.519,0.456,-0.200,0.004,0.168,0.039,0,2361,28,-27,0,0.000,305,305,0
66674,0.106,0.517,0.080,-0.003,0.001,0.003,0.456,0.554,-0.528,0.455,-0.200,0.002,0.171,0.025,0,1617,29,-29,0,0.000,305,305,0
66774,0.099,0.512,0.200,0.005,-0.004,-0.002,0.452,0.558,-0.525,0.457,-0.200,0.003,0.174,0.025,0,2990,32,-32,0,0.000,305,305,0
66874,0.125,0.562,-0.370,0.007,0.005,-0.001,0.443,0.571,-0.515,0.461,-0.200,0.003,0.184,0.031,0,3454,31,-31,0,0.000,305,305,0
66974,0.101,0.480,0.020,0.001,0.004,-0.002,0.443,0.569,-0.505,0.474,-0.200,0.002,0.158,0.026,0,3039,25,-25,0,0.000,305,305,0
67074,0.224,0.435,0.450,0.003,-0.002,-0.005,0.452,0.576,-0.491,0.472,-0.200,0.006,0.146,0.058,0,5495,26,-26,0,0.000,305,305,0
67174,0.205,0.439,0.210,0.009,0.001,0.004,0.439,0.585,-0.481,0.484,-0.200,0.005,0.147,0.049,0,3495,26,-27,0,0.000,305,305,0
67274,0.068,0.479,0.640,0.011,-0.004,0.007,0.411,0.595,-0.477,0.500,-0.200,0.001,0.162,0.012,2990,0,32,-33,0,0.000,305,305,0
67374,-0.103,0.610,-0.530,0.012,-0.008,0.005,0.374,0.611,-0.479,0.508,-0.200,-0.003,0.207,-0.030,4876,0,45,-45,0,0.000,305,305,0
67474,-0.207,0.644,-0.270,0.012,0.004,-0.002,0.349,0.623,-0.465,0.523,-0.200,-0.005,0.211,-0.052,4703,0,39,-39,0,0.000,305,305,0
67574,-0.164,0.484,-0.090,0.007,0.010,-0.004,0.353,0.621,-0.438,0.546,-0.200,-0.003,0.156,-0.040,2846,0,23,-23,0,0.000,305,305,0
67674,-0.092,0.367,-0.020,0.012,0.003,-0.007,0.350,0.627,-0.409,0.563,-0.200,-0.001,0.121,-0.020,0,1653,20,-20,0,0.000,305,305,0
67774,0.006,0.358,0.040,0.014,-0.001,-0.005,0.337,0.646,-0.377,0.572,-0.200,0.000,0.120,0.003,0,3250,24,-25,0,0.000,305,305,0
67874,0.033,0.349,-0.140,0.017,0.001,-0.002,0.315,0.661,-0.348,0.586,-0.200,0.001,0.116,0.008,0,2516,24,-24,0,0.000,305,305,0
67974,0.039,0.341,0.130,0.012,-0.001,-0.003,0.293,0.673,-0.322,0.597,-0.200,0.001,0.115,0.012,0,2771,25,-25,0,0.000,305,305,0
68074,0.093,0.363,0.360,0.009,-0.002,-0.004,0.281,0.686,-0.301,0.600,-0.200,0.002,0.123,0.025,0,3798,28,-28,0,0.000,305,305,0
68174,0.112,0.424,-0.210,0.009,-0.005,-0.001,0.265,0.700,-0.287,0.598,-0.200,0.002,0.144,0.028,0,3345,34,-35,0,0.000,305,305,0
68274,0.130,0.511,-0.210,0.010,-0.004,-0.004,0.249,0.715,-0.272,0.593,-0.200,0.003,0.172,0.033,0,3892,40,-40,0,0.000,305,305,0
68374,0.165,0.544,0.060,0.010,-0.000,-0.003,0.235,0.726,-0.251,0.596,-0.200,0.004,0.180,0.041,0,4249,39,-39,0,0.000,305,305,0
68474,0.167,0.539,0.530,0.008,-0.001,-0.002,0.223,0.731,-0.236,0.600,-0.200,0.004,0.181,0.042,0,4059,40,-40,0,0.000,305,305,0
68574,0.154,0.576,0.720,0.012,0.000,-0.001,0.204,0.740,-0.220,0.602,-0.200,0.004,0.192,0.038,0,3600,42,-42,0,0.000,305,305,0
68674,0.123,0.561,0.610,0.010,0.001,-0.001,0.189,0.742,-0.205,0.609,-0.200,0.003,0.187,0.030,0,3128,41,-41,0,0.000,305,305,0
68774,0.120,0.579,0.630,0.008,-0.000,-0.000,0.176,0.748,-0.191,0.611,-0.200,0.003,0.193,0.029,0,3382,43,-43,36,15.380,305,305,0
68874,0.049,0.550,0.120,0.010,0.001,0.003,0.159,0.747,-0.184,0.619,-0.200,0.001,0.183,0.010,1452,0,41,-41,36,15.380,305,305,0
68974,-0.038,0.537,-0.150,0.007,0.003,0.001,0.142,0.746,-0.177,0.626,-0.200,-0.001,0.177,-0.011,2666,0,39,-39,36,15.380,305,305,0
69074,-0.060,0.464,0.550,0.007,0.006,0.000,0.134,0.740,-0.168,0.638,-0.200,-0.001,0.151,-0.016,2208,0,32,-33,36,15.380,305,305,0
69174,-0.073,0.432,0.380,0.005,-0.002,0.000,0.127,0.739,-0.160,0.641,-0.200,-0.001,0.145,-0.018,2133,0,36,-36,36,15.380,305,305,0
69274,-0.099,0.525,0.710,0.003,-0.010,0.002,0.118,0.751,-0.162,0.629,-0.200,-0.002,0.180,-0.026,2995,0,49,-49,36,15.380,305,305,0
69374,-0.127,0.641,0.920,-0.001,-0.003,0.001,0.114,0.761,-0.166,0.617,-0.200,-0.003,0.215,-0.032,3114,0,54,-54,36,15.380,305,305,0
69474,-0.133,0.681,0.130,-0.005,-0.002,0.003,0.120,0.763,-0.178,0.610,-0.200,-0.004,0.228,-0.034,3344,0,55,-55,36,15.380,305,305,0
69574,-0.131,0.667,-0.270,-0.006,0.000,0.001,0.131,0.758,-0.189,0.610,-0.200,-0.003,0.222,-0.032,2725,0,52,-52,36,15.380,305,305,0
69674,-0.202,0.695,-0.760,-0.003,-0.003,0.007,0.131,0.757,-0.208,0.606,-0.200,-0.006,0.233,-0.054,4998,0,57,-57,36,15.380,305,305,0
69774,-0.265,0.705,-0.690,-0.008,0.003,-0.001,0.138,0.752,-0.225,0.604,-0.200,-0.007,0.233,-0.065,4654,0,55,-55,36,15.380,305,305,0
69874,-0.162,0.625,-0.580,-0.008,0.005,-0.005,0.163,0.742,-0.229,0.609,-0.200,-0.004,0.206,-0.037,879,0,48,-48,36,15.380,305,305,0
69974,-0.056,0.600,-0.370,-0.006,0.000,-0.001,0.183,0.738,-0.233,0.606,-0.200,-0.001,0.200,-0.013,0,2231,50,-50,36,15.370,305,305,0
70074,-0.022,0.636,-0.070,-0.002,-0.003,-0.000,0.189,0.741,-0.239,0.599,-0.200,-0.001,0.213,-0.005,0,1476,56,-56,36,15.370,305,305,0
70174,-0.034,0.571,0.310,0.002,0.007,0.001,0.189,0.734,-0.234,0.609,-0.200,-0.001,0.187,-0.009,1874,0,46,-46,36,15.370,305,305,0
70274,-0.052,0.557,0.070,0.006,0.000,0.001,0.181,0.735,-0.229,0.612,-0.200,-0.001,0.185,-0.014,2581,0,49,-50,36,15.370,305,305,0
70374,-0.082,0.540,-0.260,0.004,-0.003,-0.001,0.170,0.735,-0.219,0.618,-0.200,-0.002,0.178,-0.022,3097,0,49,-49,36,15.360,305,305,0
70474,-0.036,0.560,-0.660,0.001,-0.002,-0.004,0.171,0.740,-0.212,0.614,-0.200,-0.001,0.187,-0.007,0,2023,53,-53,36,15.360,305,305,0
70574,0.030,0.556,-0.200,-0.004,0.001,-0.002,0.179,0.741,-0.210,0.613,-0.200,0.001,0.185,0.009,0,2925,52,-52,36,15.360,305,305,0
70674,0.081,0.497,0.080,-0.008,0.000,0.002,0.197,0.731,-0.217,0.616,-0.200,0.002,0.165,0.020,0,3065,47,-46,36,15.360,305,305,0
70774,-0.003,0.472,0.980,-0.014,0.000,0.009,0.213,0.718,-0.250,0.614,-0.200,-0.000,0.157,-0.001,3047,0,47,-47,36,15.370,305,305,0
70874,-0.097,0.443,1.260,-0.024,0.003,0.006,0.239,0.697,-0.296,0.608,-0.200,-0.002,0.147,-0.025,4011,0,45,-44,36,15.370,305,305,0
70974,-0.154,0.564,0.160,-0.017,-0.010,0.004,0.262,0.690,-0.345,0.579,-0.200,-0.003,0.193,-0.039,4252,0,62,-62,36,15.370,305,305,0
71074,-0.173,0.633,0.000,-0.019,-0.002,0.005,0.287,0.675,-0.387,0.559,-0.200,-0.004,0.212,-0.044,4162,0,63,-62,36,15.380,305,305,0
71174,-0.160,0.625,0.150,-0.017,0.002,0.002,0.319,0.653,-0.420,0.543,-0.200,-0.004,0.208,-0.039,3376,0,59,-58,36,15.380,305,305,0
71274,-0.094,0.659,-0.360,-0.013,-0.003,-0.000,0.344,0.642,-0.445,0.521,-0.200,-0.002,0.221,-0.022,1393,0,65,-64,36,15.380,305,305,0
71374,-0.065,0.661,-0.350,-0.010,0.003,0.003,0.363,0.628,-0.463,0.510,-0.200,-0.002,0.218,-0.017,2270,0,61,-61,36,15.380,305,305,0
71474,-0.067,0.560,0.420,-0.002,0.006,-0.001,0.379,0.611,-0.467,0.514,-0.200,-0.001,0.184,-0.016,2238,0,52,-52,36,15.380,305,305,0
71574,-0.041,0.501,0.880,0.007,0.006,-0.000,0.379,0.613,-0.453,0.525,-0.200,-0.001,0.162,-0.011,1993,0,48,-49,36,15.380,305,305,0
71674,-0.065,0.313,0.120,0.009,0.002,-0.002,0.375,0.609,-0.426,0.554,-0.200,-0.001,0.105,-0.016,2495,0,38,-38,36,15.380,305,305,0
71774,-0.021,0.368,-0.390,0.012,-0.002,-0.006,0.361,0.627,-0.410,0.555,-0.200,-0.000,0.123,-0.003,0,1750,48,-48,36,15.380,305,305,0
71874,0.064,0.370,-1.290,0.022,0.003,-0.003,0.338,0.650,-0.371,0.570,-0.200,0.001,0.122,0.016,0,3041,46,-47,36,15.380,305,305,0
71974,0.004,0.359,-0.650,0.021,-0.001,-0.001,0.302,0.666,-0.341,0.590,-0.200,-0.000,0.120,-0.000,2342,0,48,-48,36,15.380,305,305,0
72074,-0.031,0.426,-0.110,0.019,-0.006,-0.001,0.267,0.688,-0.315,0.597,-0.200,-0.001,0.145,-0.008,2714,0,56,-56,36,15.380,305,305,0
72174,0.003,0.497,0.230,0.014,-0.003,-0.005,0.243,0.708,-0.286,0.598,-0.200,0.000,0.167,0.002,0,1940,59,-60,36,15.380,305,305,0
72274,0.074,0.487,0.480,0.015,-0.000,-0.007,0.226,0.720,-0.251,0.606,-0.200,0.002,0.163,0.021,0,3716,57,-57,36,15.390,305,305,0
72374,0.123,0.509,0.230,0.011,0.000,-0.002,0.208,0.731,-0.224,0.610,-0.200,0.003,0.170,0.031,0,3402,59,-59,36,15.390,305,305,0
72474,0.079,0.549,-0.140,0.018,-0.002,-0.001,0.177,0.743,-0.199,0.614,-0.200,0.002,0.184,0.019,0,1087,63,-63,36,15.390,305,305,0
72574,0.053,0.578,-0.420,0.011,-0.002,-0.001,0.159,0.750,-0.183,0.615,-0.200,0.001,0.193,0.013,0,566,64,-65,36,15.390,305,305,0
72674,0.037,0.575,0.210,0.010,-0.000,-0.002,0.146,0.753,-0.170,0.619,-0.200,0.001,0.192,0.009,0,1238,64,-64,36,15.380,305,305,0
72774,0.011,0.516,1.180,0.015,0.009,-0.000,0.121,0.750,-0.142,0.634,-0.200,0.000,0.168,0.001,2047,0,55,-55,36,15.380,305,305,0
72874,0.004,0.550,-0.640,0.009,-0.007,-0.003,0.102,0.760,-0.121,0.630,-0.200,0.000,0.186,0.002,0,548,67,-67,36,15.370,305,305,0
72974,0.048,0.499,0.290,0.010,0.002,-0.005,0.092,0.757,-0.099,0.639,-0.200,0.001,0.166,0.014,0,2974,59,-59,36,15.370,305,305,0
73074,0.132,0.537,-0.770,0.002,0.001,-0.004,0.093,0.762,-0.085,0.635,-0.200,0.003,0.178,0.035,0,4303,63,-63,36,15.370,305,305,0
73174,0.190,0.491,-0.450,-0.005,0.002,-0.001,0.102,0.758,-0.083,0.639,-0.200,0.004,0.162,0.048,0,4532,59,-59,36,15.370,305,305,0
73274,0.188,0.447,0.380,-0.008,0.004,0.004,0.114,0.751,-0.097,0.643,-0.200,0.004,0.147,0.046,0,3583,56,-56,36,15.380,305,305,0
73374,0.139,0.328,1.260,-0.011,0.008,0.003,0.133,0.733,-0.123,0.655,-0.200,0.002,0.106,0.034,0,2760,46,-46,36,15.380,305,305,0
73474,0.126,0.347,-0.420,-0.010,0.001,-0.000,0.147,0.733,-0.141,0.649,-0.200,0.002,0.114,0.032,0,3317,53,-52,36,15.380,305,305,0
73574,0.098,0.310,-0.150,0.001,-0.007,0.006,0.154,0.728,-0.156,0.650,-0.200,0.001,0.108,0.021,0,864,55,-55,36,15.380,305,305,0
73674,-0.009,0.431,-0.750,0.002,-0.003,0.003,0.137,0.739,-0.161,0.640,-0.200,-0.000,0.144,-0.004,3024,0,63,-63,36,15.380,305,305,0
73774,-0.036,0.422,0.260,0.002,0.001,-0.001,0.132,0.738,-0.159,0.642,-0.200,-0.001,0.141,-0.009,1812,0,59,-59,36,15.380,305,305,0
73874,-0.054,0.421,0.810,0.014,0.001,0.000,0.115,0.741,-0.143,0.646,-0.200,-0.001,0.139,-0.015,2639,0,59,-59,36,15.380,305,305,0
73974,-0.064,0.331,1.390,0.017,-0.001,-0.005,0.087,0.738,-0.108,0.660,-0.200,-0.001,0.113,-0.014,1311,0,53,-54,36,15.380,305,305,0
74074,-0.028,0.449,-0.910,0.024,-0.001,-0.004,0.045,0.756,-0.057,0.651,-0.200,-0.001,0.149,-0.007,0,697,64,-65,36,15.380,305,305,0
74174,0.008,0.434,-0.240,0.022,-0.007,-0.007,0.010,0.758,-0.008,0.653,-0.200,0.000,0.148,0.005,0,2923,65,-65,36,15.380,305,305,0
74274,0.069,0.554,-0.860,0.016,-0.004,-0.005,-0.019,0.769,0.038,0.638,-0.200,0.002,0.187,0.018,0,3500,74,-75,36,15.380,305,305,0
74374,0.114,0.576,0.200,0.010,-0.002,-0.003,-0.047,0.768,0.080,0.634,-0.200,0.003,0.193,0.029,0,3762,73,-73,36,15.380,305,305,0
74474,0.105,0.584,0.390,0.000,-0.001,0.001,-0.065,0.766,0.099,0.631,-0.200,0.002,0.195,0.026,0,2841,73,-73,36,15.380,305,305,0
74574,0.050,0.588,-0.040,-0.006,-0.001,0.005,-0.067,0.768,0.090,0.631,-0.200,0.001,0.197,0.010,1522,0,74,-74,36,15.380,305,305,0
74674,-0.011,0.563,0.200,-0.016,0.004,0.001,-0.059,0.766,0.070,0.636,-0.200,-0.000,0.185,-0.002,1478,0,70,-69,36,15.380,305,305,0
74774,0.006,0.620,-0.360,-0.010,-0.003,0.006,-0.039,0.775,0.049,0.628,-0.200,-0.000,0.209,-0.000,1023,0,80,-79,36,15.380,305,305,0
74874,-0.071,0.604,0.050,-0.013,-0.005,0.004,-0.032,0.775,0.025,0.630,-0.200,-0.002,0.204,-0.018,3176,0,78,-78,36,15.380,305,305,0
74974,-0.109,0.748,-0.270,-0.009,-0.007,0.005,-0.019,0.791,0.001,0.612,-0.200,-0.004,0.253,-0.029,3608,0,92,-92,36,15.380,305,305,0
