Timestamp,r_ref,q_ref,curr_ax,curr_roll_rate,curr_pitch_rate,curr_yaw_rate,curr_qw,curr_qx,curr_qy,curr_qz,ax_ref,p_ref,pitch_ref,yaw_ref,omega_L_ref,omega_R_ref,servo_L_ref,servo_R_ref,Temperature,Voltage
40779,0.117,-0.375,-0.020,0.003,0.018,-0.001,0.765,-0.035,-0.637,-0.088,-0.200,-0.005,-0.188,0.059,1778,2998,-25,25,0,0.000
40878,0.123,-0.523,-0.050,0.003,0.010,0.001,0.789,-0.027,-0.608,-0.086,-0.200,-0.008,-0.262,0.061,1009,2638,-29,28,0,0.000
40978,0.120,-0.493,-0.180,0.000,-0.016,0.001,0.784,-0.028,-0.618,-0.085,-0.200,-0.007,-0.236,0.059,604,2293,-15,15,0,0.000
41078,0.124,-0.204,-0.580,-0.002,-0.033,-0.002,0.737,-0.038,-0.669,-0.089,-0.200,-0.003,-0.102,0.062,1186,3210,6,-6,0,0.000
41178,0.137,0.107,-0.560,0.002,-0.028,0.000,0.682,-0.045,-0.724,-0.090,-0.200,0.002,0.053,0.069,2204,3887,19,-19,0,0.000
41278,0.131,0.355,-0.350,0.003,-0.021,0.001,0.636,-0.051,-0.765,-0.086,-0.200,0.006,0.177,0.066,2950,4045,26,-26,0,0.000
41378,0.129,0.392,-0.210,-0.002,0.019,-0.000,0.629,-0.052,-0.771,-0.084,-0.200,0.006,0.183,0.065,2764,4124,10,-9,0,0.000
41478,0.108,0.090,-0.090,0.003,0.025,0.003,0.686,-0.044,-0.721,-0.080,-0.200,0.001,0.045,0.054,3372,3743,-11,11,0,0.000
41578,0.086,-0.103,-0.040,0.002,0.017,0.001,0.721,-0.038,-0.688,-0.072,-0.200,-0.001,-0.051,0.043,3026,3517,-15,15,0,0.000
41678,0.088,-0.308,0.060,0.000,0.015,-0.000,0.756,-0.033,-0.650,-0.072,-0.200,-0.003,-0.154,0.044,2477,3646,-23,23,0,0.000
41778,0.100,-0.164,-0.950,-0.002,-0.032,-0.002,0.731,-0.038,-0.676,-0.078,-0.200,-0.002,-0.082,0.050,2667,4349,6,-6,0,0.000
41878,0.135,0.110,-0.520,-0.004,-0.017,-0.003,0.681,-0.047,-0.725,-0.090,-0.200,0.002,0.055,0.067,2744,5103,15,-15,0,0.000
41978,0.156,0.342,-0.470,-0.001,-0.024,-0.002,0.637,-0.053,-0.763,-0.096,-0.200,0.007,0.171,0.078,3173,5329,26,-26,0,0.000
42078,0.167,0.576,-0.040,-0.001,-0.020,-0.000,0.590,-0.059,-0.799,-0.096,-0.200,0.013,0.288,0.084,3601,5527,35,-34,0,0.000
42178,0.168,0.741,-0.050,0.000,-0.001,0.001,0.556,-0.062,-0.823,-0.094,-0.200,0.016,0.371,0.084,3707,5442,36,-36,0,0.000
