Timestamp,r_ref,q_ref,curr_ax,curr_roll_rate,curr_pitch_rate,curr_yaw_rate,curr_qw,curr_qx,curr_qy,curr_qz,thrust_ref,p_ref,omega_L_ref,omega_R_ref,servo_L_ref,servo_R_ref,Temperature,Voltage,Current,RPM2,RPM4,Throttle2,Throttle4,ErrorCodes
58013,-0.228,0.041,-0.760,0.169,1.502,-0.193,0.549,0.412,-0.581,0.438,0.000,0.000,0,3481,41,-49,0,0.000,0.000,0,0,0,0,0
58112,-0.238,0.131,0.130,-0.163,-1.326,0.213,0.540,0.416,-0.590,0.431,0.000,0.001,0,6422,-39,49,0,0.000,0.000,0,0,0,0,0
58212,-0.282,0.143,-0.350,0.044,0.727,-0.008,0.539,0.411,-0.596,0.431,0.000,0.001,0,4747,21,-26,0,0.000,0.000,0,0,0,0,0
58312,-0.273,0.115,0.060,-0.009,-0.253,-0.020,0.542,0.410,-0.592,0.433,0.000,0.001,0,4959,-8,8,0,0.000,0.000,0,0,0,0,0
58412,-0.294,0.036,-0.260,0.047,0.591,0.102,0.549,0.402,-0.586,0.439,0.000,0.000,0,5794,19,-24,0,0.000,0.000,305,305,0,0,0
58512,-0.332,-0.059,-0.080,0.030,0.037,0.074,0.555,0.394,-0.579,0.449,0.000,-0.001,0,5599,2,-4,0,0.000,0.000,305,305,0,0,0
58612,-0.340,-0.070,-0.220,-0.010,0.140,-0.022,0.556,0.392,-0.578,0.450,0.000,-0.001,0,4861,10,-10,0,0.000,0.000,305,305,0,0,0
58712,-0.311,-0.066,-0.080,0.039,-0.111,-0.114,0.557,0.394,-0.577,0.448,0.000,-0.001,0,4459,0,-4,0,0.000,0.000,305,305,0,0,0
58812,-0.268,-0.111,-0.170,0.046,0.284,-0.082,0.563,0.396,-0.570,0.449,0.000,-0.002,0,4717,14,-17,0,0.000,0.000,305,305,0,0,0
58912,-0.237,-0.169,-0.040,-0.038,0.057,-0.072,0.571,0.393,-0.564,0.450,0.000,-0.003,0,4623,9,-7,0,0.000,0.000,305,305,0,0,0
59012,-0.218,-0.168,0.090,-0.103,-0.019,-0.013,0.573,0.392,-0.564,0.447,0.000,-0.003,0,5009,10,-3,0,0.000,0.000,305,305,0,0,0
59112,-0.218,-0.173,-0.040,0.039,0.070,0.024,0.575,0.391,-0.564,0.446,0.000,-0.003,0,5121,8,-14,0,0.000,0.000,305,305,0,0,0
59212,-0.239,-0.181,-0.110,-0.058,-0.038,0.072,0.574,0.389,-0.565,0.448,0.000,-0.003,0,5388,9,-5,0,0.000,0.000,305,305,0,0,0
59312,-0.241,-0.180,-0.030,-0.029,-0.057,-0.061,0.574,0.389,-0.565,0.448,0.000,-0.003,0,4428,7,-7,0,0.000,0.000,305,305,0,0,0
59412,-0.223,-0.168,-0.120,0.021,-0.019,-0.006,0.574,0.391,-0.565,0.446,0.000,-0.003,0,5037,8,-10,0,0.000,0.000,305,305,0,0,0
59512,-0.234,-0.190,0.020,-0.019,0.144,0.020,0.575,0.389,-0.563,0.449,0.000,-0.003,0,5041,14,-14,0,0.000,0.000,305,305,0,0,0
