Timestamp,r_ref,q_ref,curr_ax,curr_roll_rate,curr_pitch_rate,curr_yaw_rate,curr_qw,curr_qx,curr_qy,curr_qz,thrust_ref,p_ref,omega_L_ref,omega_R_ref,servo_L_ref,servo_R_ref,Temperature,Voltage,Current,RPM2,RPM4,Throttle2,Throttle4,ErrorCodes
59458,-0.686,-0.404,0.058,0.077,-0.218,-0.037,-0.387,-0.497,0.432,-0.646,0.000,0.022,0,6194,5,-8,0,0.000,0.000,0,0,0,0,0
59557,-0.630,-0.346,0.064,0.067,-0.076,-0.006,-0.383,-0.509,0.428,-0.640,0.000,0.018,0,6264,9,-11,0,0.000,0.000,0,0,0,0,0
59657,-0.540,-0.311,0.112,-0.133,-0.046,-0.024,-0.388,-0.518,0.424,-0.633,0.000,0.014,0,5820,14,-3,0,0.000,0.000,0,0,0,0,0
59757,-0.508,-0.261,0.165,-0.144,-0.073,-0.061,-0.391,-0.522,0.429,-0.624,0.000,0.011,0,5757,12,-5,0,0.000,0.000,305,305,0,0,0
59857,-0.488,-0.252,0.124,-0.042,-0.042,0.052,-0.395,-0.522,0.430,-0.621,0.000,0.011,0,6184,8,-8,0,0.000,0.000,305,305,0,0,0
59957,-0.461,-0.227,0.151,0.006,-0.063,0.033,-0.396,-0.526,0.431,-0.617,0.000,0.009,0,5852,7,-9,0,0.000,0.000,305,305,0,0,0
60057,-0.454,-0.223,0.159,-0.001,-0.038,-0.028,-0.398,-0.526,0.432,-0.615,0.000,0.009,0,5510,7,-7,0,0.000,0.000,305,305,0,0,0
60157,-0.399,-0.213,0.141,-0.007,-0.004,-0.111,-0.404,-0.527,0.432,-0.610,0.000,0.007,0,4835,9,-8,0,0.000,0.000,305,305,0,0,0
60257,-0.291,-0.200,0.109,0.003,0.011,-0.062,-0.413,-0.534,0.427,-0.602,0.000,0.004,0,4795,9,-9,0,0.000,0.000,305,305,0,0,0
60357,-0.248,-0.206,0.093,-0.022,0.028,-0.029,-0.419,-0.534,0.426,-0.599,0.000,0.004,0,4808,10,-8,0,0.000,0.000,305,305,0,0,0
60457,-0.221,-0.208,0.100,0.001,0.016,-0.034,-0.424,-0.533,0.426,-0.596,0.000,0.003,0,4656,9,-9,0,0.000,0.000,305,305,0,0,0
60557,-0.187,-0.202,0.099,-0.032,0.021,-0.041,-0.429,-0.533,0.427,-0.591,0.000,0.002,0,4421,11,-8,0,0.000,0.000,305,305,0,0,0
60657,-0.144,-0.210,0.137,-0.038,0.000,-0.042,-0.437,-0.532,0.427,-0.587,0.000,0.002,0,4325,10,-8,0,0.000,0.000,305,305,0,0,0
60757,-0.125,-0.203,0.180,-0.001,0.016,0.000,-0.440,-0.531,0.429,-0.583,0.000,0.001,0,4490,10,-10,0,0.000,0.000,305,305,0,0,0
