Timestamp,r_ref,q_ref,curr_ax,curr_roll_rate,curr_pitch_rate,curr_yaw_rate,curr_qw,curr_qx,curr_qy,curr_qz,thrust_ref,p_ref,omega_L_ref,omega_R_ref,servo_L_ref,servo_R_ref,Temperature,Voltage,Current,RPM2,RPM4,Throttle2,Throttle4,ErrorCodes
92612,0.515,-0.622,0.292,0.031,-0.072,-0.010,-0.748,-0.248,0.580,-0.208,0.000,-0.016,5781,0,17,-19,0,0.000,0.000,0,0,0,0,0
92712,0.398,-0.536,0.248,-0.036,-0.113,0.016,-0.739,-0.234,0.597,-0.206,0.000,-0.011,5237,0,16,-15,0,0.000,0.000,0,0,0,0,0
92812,0.369,-0.508,0.186,-0.044,0.051,-0.002,-0.737,-0.229,0.603,-0.202,0.000,-0.009,5365,0,21,-20,0,0.000,0.000,305,305,0,0,0
92912,0.304,-0.478,0.131,-0.017,0.121,0.004,-0.734,-0.221,0.610,-0.203,0.000,-0.007,5018,0,21,-22,0,0.000,0.000,305,305,0,0,0
93012,0.259,-0.485,0.105,0.039,0.133,0.011,-0.733,-0.217,0.610,-0.208,0.000,-0.006,4835,0,20,-24,0,0.000,0.000,305,305,0,0,0
93112,0.222,-0.505,0.097,0.113,0.071,-0.062,-0.733,-0.216,0.608,-0.215,0.000,-0.005,5228,0,17,-25,0,0.000,0.000,305,305,0,0,0
93212,0.217,-0.517,0.088,0.132,0.123,-0.056,-0.733,-0.219,0.605,-0.220,0.000,-0.005,5062,0,20,-27,0,0.000,0.000,305,305,0,0,0
93312,0.225,-0.543,0.102,0.102,0.129,-0.100,-0.734,-0.223,0.600,-0.226,0.000,-0.006,5386,0,22,-27,0,0.000,0.000,305,305,0,0,0
93412,0.255,-0.558,0.113,0.078,0.003,-0.043,-0.735,-0.229,0.596,-0.228,0.000,-0.007,5088,0,19,-23,0,0.000,0.000,305,305,0,0,0
93512,0.254,-0.552,0.093,0.016,-0.009,0.016,-0.734,-0.231,0.596,-0.231,0.000,-0.007,4847,0,21,-23,0,0.000,0.000,305,305,0,0,0
93612,0.240,-0.540,0.076,0.008,-0.058,0.021,-0.731,-0.232,0.597,-0.234,0.000,-0.006,4817,0,20,-22,0,0.000,0.000,305,305,0,0,0
