Timestamp,curr_ax,curr_roll_rate,curr_pitch_rate,curr_yaw_rate,curr_qw,curr_qx,curr_qy,curr_qz,ax_ref,p_ref,q_ref,r_ref,omega_L_ref,omega_R_ref,servo_L_ref,servo_R_ref,Temperature,Voltage,RPM2,RPM4
77830,-0.220,0.002,0.028,0.000,-0.397,-0.533,0.438,-0.606,-0.200,0.007,-0.050,-0.107,2364,0,22,-22,0,0.000,0,0
77930,-0.160,-0.001,0.007,0.000,-0.412,-0.506,0.420,-0.630,-0.200,0.012,-0.135,-0.111,2474,0,36,-36,0,0.000,0,0
78030,-0.640,-0.003,-0.023,0.003,-0.401,-0.518,0.434,-0.619,-0.200,0.011,-0.088,-0.122,2940,0,-1,1,0,0.000,0,0
78130,-1.560,-0.004,-0.050,-0.000,-0.357,-0.575,0.482,-0.556,-0.200,-0.002,0.127,-0.126,3760,1359,-78,79,0,0.000,0,0
78230,-1.460,-0.003,-0.056,-0.001,-0.283,-0.652,0.537,-0.455,-0.200,-0.021,0.436,-0.118,4599,3023,-181,182,0,0.000,0,0
78330,0.570,-0.001,-0.012,-0.003,-0.241,-0.695,0.557,-0.386,-0.200,-0.026,0.617,-0.091,4368,3168,-200,200,0,0.000,0,0
78430,1.080,0.001,0.009,0.000,-0.248,-0.692,0.553,-0.392,-0.200,-0.024,0.597,-0.086,3788,1778,-198,198,0,0.000,0,0
78530,0.560,0.000,0.042,-0.003,-0.289,-0.663,0.532,-0.440,-0.200,-0.017,0.459,-0.084,3318,0,-141,141,0,0.000,0,0
78630,-0.690,0.007,0.044,-0.001,-0.343,-0.615,0.485,-0.518,-0.200,-0.007,0.230,-0.080,3704,667,-65,65,0,0.000,0,0
78730,-0.580,0.005,0.024,0.003,-0.373,-0.570,0.445,-0.581,-0.200,0.001,0.047,-0.093,4131,430,-19,19,0,0.000,0,0
78830,-0.190,-0.000,0.004,0.001,-0.382,-0.549,0.431,-0.606,-0.200,0.005,-0.026,-0.104,4264,0,-10,10,0,0.000,0,0
78930,-0.190,-0.001,-0.007,0.001,-0.376,-0.554,0.438,-0.600,-0.200,0.004,0.000,-0.109,4316,0,-29,28,0,0.000,0,0
79030,0.080,-0.002,-0.011,-0.000,-0.367,-0.568,0.449,-0.584,-0.200,0.002,0.047,-0.108,4191,0,-46,46,0,0.000,0,0
79130,0.170,-0.001,-0.009,-0.000,-0.357,-0.584,0.461,-0.566,-0.200,-0.002,0.106,-0.105,3966,0,-64,64,0,0.000,0,0
79230,0.470,-0.000,-0.007,0.001,-0.349,-0.593,0.467,-0.555,-0.200,-0.004,0.141,-0.105,3601,0,-73,73,0,0.000,0,0
79330,-0.100,-0.001,-0.017,0.000,-0.333,-0.610,0.481,-0.535,-0.200,-0.007,0.208,-0.108,3326,0,-99,99,0,0.000,0,0
79430,-0.210,-0.004,-0.030,-0.001,-0.302,-0.644,0.508,-0.486,-0.200,-0.014,0.352,-0.103,3246,0,-151,152,0,0.000,0,0
79530,-0.350,-0.004,-0.037,-0.001,-0.265,-0.682,0.536,-0.422,-0.200,-0.021,0.523,-0.087,3257,0,-200,200,0,0.000,0,0
79630,0.790,0.000,-0.013,-0.000,-0.230,-0.711,0.555,-0.366,-0.200,-0.024,0.665,-0.074,2829,0,-200,200,0,0.000,0,0
79730,0.200,0.003,0.037,-0.000,-0.248,-0.700,0.545,-0.391,-0.200,-0.022,0.601,-0.076,2797,0,-200,200,0,0.000,0,0
79830,-1.290,0.008,0.062,0.000,-0.310,-0.642,0.499,-0.493,-0.200,-0.012,0.293,-0.096,3523,0,-92,92,0,0.000,0,0
79930,-1.600,0.010,0.055,0.003,-0.367,-0.559,0.432,-0.605,-0.200,0.005,-0.002,-0.113,4398,0,-2,2,0,0.000,0,0
80030,-0.950,0.006,0.028,0.003,-0.395,-0.493,0.381,-0.675,-0.200,0.019,-0.226,-0.124,4937,1657,52,-53,0,0.000,0,0
80130,-1.140,0.002,-0.001,0.004,-0.391,-0.474,0.362,-0.701,-0.200,0.026,-0.293,-0.135,5285,2293,55,-56,0,0.000,0,0
80230,-0.200,-0.000,-0.011,0.001,-0.375,-0.489,0.370,-0.695,-0.200,0.025,-0.252,-0.145,5383,2433,34,-34,0,0.000,0,0
80330,-0.070,0.005,-0.017,0.003,-0.351,-0.520,0.381,-0.679,-0.200,0.020,-0.171,-0.151,5300,2194,6,-6,0,0.000,0,0
80430,-0.080,0.013,-0.021,0.005,-0.315,-0.555,0.383,-0.668,-0.200,0.015,-0.093,-0.162,5240,1696,-18,19,0,0.000,0,0
80530,-0.540,0.007,-0.033,0.005,-0.258,-0.606,0.388,-0.645,-0.200,0.006,0.034,-0.189,5521,1532,-63,63,0,0.000,0,0
80630,-0.950,-0.005,-0.047,0.002,-0.202,-0.674,0.418,-0.574,-0.200,-0.017,0.263,-0.207,5943,2533,-143,143,0,0.000,0,0
80730,-0.150,-0.011,-0.024,-0.002,-0.177,-0.724,0.450,-0.492,-0.200,-0.035,0.481,-0.179,5828,3411,-200,200,0,0.000,0,0
80830,0.610,-0.004,-0.005,-0.001,-0.177,-0.741,0.461,-0.455,-0.200,-0.037,0.547,-0.153,5500,3311,-199,200,0,0.000,0,0
80930,0.930,-0.002,0.003,-0.000,-0.181,-0.741,0.463,-0.451,-0.200,-0.035,0.551,-0.146,5070,2384,-199,200,0,0.000,0,0
81030,-0.390,0.008,0.032,0.000,-0.197,-0.722,0.451,-0.486,-0.200,-0.029,0.464,-0.150,4875,1329,-170,171,0,0.000,0,0
81130,-0.670,0.021,0.049,0.007,-0.214,-0.663,0.408,-0.590,-0.200,-0.011,0.214,-0.198,5449,0,-81,72,0,0.000,0,0
81230,0.080,0.010,0.026,0.006,-0.217,-0.593,0.369,-0.682,-0.200,0.017,-0.027,-0.246,5714,0,-16,15,0,0.000,0,0
81330,-0.210,0.003,-0.006,-0.000,-0.208,-0.585,0.359,-0.697,-0.200,0.022,-0.060,-0.256,5551,0,-27,26,36,14.980,305,305
81430,0.270,0.004,-0.004,-0.002,-0.199,-0.600,0.354,-0.689,-0.200,0.017,-0.031,-0.249,5303,0,-40,40,36,14.980,305,305
81530,0.670,0.012,0.008,0.004,-0.186,-0.599,0.338,-0.701,-0.200,0.020,-0.056,-0.251,4987,0,-26,26,36,14.990,305,305
81630,-0.140,0.013,0.031,-0.002,-0.183,-0.555,0.301,-0.753,-0.200,0.037,-0.208,-0.247,4625,0,34,-35,36,14.990,305,305
81730,0.540,0.013,0.016,-0.006,-0.192,-0.514,0.256,-0.796,-0.200,0.044,-0.349,-0.206,3979,0,75,-76,36,15.000,305,305
81830,-0.020,0.010,-0.012,-0.009,-0.193,-0.528,0.219,-0.797,-0.200,0.029,-0.354,-0.143,3252,0,62,-62,36,15.000,305,305
81930,-0.150,0.014,-0.010,-0.001,-0.175,-0.563,0.189,-0.785,-0.200,0.016,-0.298,-0.099,3024,0,42,-42,36,15.010,305,305
82030,-0.700,0.009,-0.028,0.003,-0.142,-0.605,0.174,-0.764,-0.200,0.010,-0.192,-0.093,3513,0,2,-2,36,15.010,305,305
82130,-1.400,0.001,-0.034,-0.005,-0.118,-0.676,0.173,-0.706,-0.200,0.002,-0.026,-0.085,4159,1645,-53,53,36,15.010,305,305
82230,-1.250,-0.002,-0.026,-0.007,-0.122,-0.734,0.170,-0.646,-0.200,-0.003,0.136,-0.041,4497,3415,-99,99,36,15.010,305,305
82330,-0.580,-0.004,-0.022,-0.002,-0.124,-0.775,0.174,-0.595,-0.200,-0.002,0.264,-0.014,4718,3877,-136,136,36,15.020,305,305
82430,-0.010,-0.005,-0.020,0.002,-0.124,-0.806,0.189,-0.547,-0.200,-0.001,0.378,-0.007,4766,3722,-173,173,36,15.020,305,305
82530,0.110,-0.003,-0.017,0.002,-0.120,-0.830,0.206,-0.504,-0.200,-0.002,0.476,-0.008,4732,3507,-199,199,36,15.020,305,305
82630,0.130,-0.003,-0.012,0.002,-0.117,-0.848,0.219,-0.468,-0.200,-0.002,0.557,-0.007,4575,3264,-200,200,36,15.020,305,305
82730,0.280,-0.000,-0.002,0.001,-0.116,-0.854,0.229,-0.452,-0.200,-0.003,0.591,-0.009,4348,2852,-200,200,36,15.010,305,305
82830,0.320,0.001,0.003,0.003,-0.120,-0.853,0.233,-0.451,-0.200,-0.002,0.592,-0.005,3950,2338,-200,200,36,15.010,305,305
82930,-0.210,0.001,0.019,0.002,-0.122,-0.839,0.236,-0.475,-0.200,-0.005,0.539,-0.018,3906,1688,-200,200,36,15.010,305,305
83030,-0.550,0.008,0.040,0.009,-0.124,-0.792,0.234,-0.549,-0.200,-0.011,0.372,-0.059,4418,528,-148,149,36,15.010,305,305
83130,-0.030,0.007,0.040,0.007,-0.122,-0.721,0.226,-0.644,-0.200,-0.006,0.141,-0.115,4882,0,-75,76,36,15.010,305,305
83230,-0.540,0.007,0.041,0.003,-0.126,-0.648,0.208,-0.721,-0.200,0.007,-0.072,-0.137,4921,0,-11,11,36,15.010,305,305
83330,-0.160,0.000,0.022,0.002,-0.133,-0.571,0.192,-0.787,-0.200,0.024,-0.279,-0.148,4968,733,44,-45,36,15.010,305,305
83430,-0.130,-0.004,0.004,0.001,-0.141,-0.549,0.198,-0.800,-0.200,0.029,-0.326,-0.158,4951,0,46,-47,36,15.010,305,305
83530,-0.330,0.001,0.005,-0.002,-0.148,-0.541,0.197,-0.804,-0.200,0.030,-0.344,-0.154,4907,1309,50,-51,36,15.010,305,305
83630,-0.340,-0.000,-0.004,-0.002,-0.152,-0.541,0.191,-0.805,-0.200,0.027,-0.348,-0.140,4833,1813,50,-51,36,15.010,305,305
83730,-0.110,-0.001,-0.002,-0.001,-0.153,-0.549,0.192,-0.799,-0.200,0.025,-0.329,-0.136,4806,1701,45,-46,37,15.010,305,305
83830,-0.060,-0.000,0.005,-0.001,-0.159,-0.548,0.189,-0.799,-0.200,0.023,-0.334,-0.126,4615,1591,51,-51,36,15.010,305,305
83930,-0.080,-0.000,-0.000,-0.000,-0.163,-0.541,0.187,-0.804,-0.200,0.024,-0.352,-0.123,4528,1214,57,-58,36,15.010,305,305
84030,-0.090,0.000,-0.000,-0.001,-0.164,-0.543,0.185,-0.803,-0.200,0.022,-0.349,-0.116,4432,1216,57,-58,36,15.010,305,305
84130,0.060,-0.000,-0.002,0.000,-0.166,-0.547,0.181,-0.800,-0.200,0.020,-0.342,-0.106,4277,884,56,-57,36,15.010,305,305
