Timestamp,curr_ax,curr_roll_rate,curr_pitch_rate,curr_yaw_rate,curr_qw,curr_qx,curr_qy,curr_qz,ax_ref,p_ref,q_ref,r_ref,omega_L_ref,omega_R_ref,servo_L_ref,servo_R_ref,Temperature,Voltage,RPM2,RPM4
43454,-0.290,-0.001,-0.004,0.010,0.711,0.068,-0.699,-0.022,-0.200,-0.001,-0.012,0.129,1155,0,6,-6,0,0.000,0,0
43554,0.050,-0.001,0.000,0.008,0.708,0.049,-0.704,-0.006,-0.200,-0.000,-0.004,0.077,0,609,5,-5,0,0.000,0,0
43654,0.100,-0.000,0.002,0.006,0.709,0.033,-0.705,0.006,-0.200,-0.000,-0.004,0.039,0,1031,6,-6,0,0.000,0,0
43754,0.130,-0.001,0.001,0.003,0.712,0.024,-0.701,0.013,-0.200,-0.000,-0.015,0.015,0,1040,9,-9,0,0.000,0,0
43854,0.220,-0.002,-0.000,0.002,0.712,0.017,-0.701,0.015,-0.200,-0.000,-0.015,0.002,0,869,8,-8,0,0.000,0,0
43954,0.190,-0.003,0.001,0.001,0.714,0.010,-0.700,0.014,-0.200,0.000,-0.019,-0.007,0,811,9,-9,0,0.000,0,0
44054,0.040,-0.001,-0.004,0.000,0.709,0.003,-0.705,0.010,-0.200,0.000,-0.006,-0.009,0,574,5,-5,0,0.000,0,0
44154,-0.180,0.001,-0.004,0.001,0.704,0.000,-0.711,0.010,-0.200,-0.000,0.010,-0.014,0,698,1,-1,0,0.000,0,0
44254,-0.250,0.001,0.002,0.001,0.701,0.001,-0.713,0.016,-0.200,-0.000,0.017,-0.022,0,1111,1,-1,0,0.000,0,0
44354,-0.250,0.000,0.004,-0.000,0.708,0.001,-0.706,0.020,-0.200,0.000,-0.004,-0.026,0,1157,8,-8,0,0.000,0,0
44454,-0.110,0.002,0.001,-0.002,0.713,0.006,-0.701,0.021,-0.200,0.000,-0.017,-0.020,341,751,10,-10,0,0.000,0,0
44554,-0.040,0.001,0.003,-0.003,0.717,0.014,-0.697,0.020,-0.200,0.000,-0.028,-0.008,830,0,12,-12,0,0.000,0,0
44654,-0.020,0.002,0.001,-0.002,0.721,0.022,-0.693,0.018,-0.200,-0.000,-0.039,0.007,1259,0,14,-14,0,0.000,0,0
