Timestamp,curr_ax,curr_roll_rate,curr_pitch_rate,curr_yaw_rate,curr_qw,curr_qx,curr_qy,curr_qz,ax_ref,p_ref,q_ref,r_ref,omega_L_ref,omega_R_ref,servo_L_ref,servo_R_ref,Temperature,Voltage,RPM2,RPM4
86761,0.260,0.003,-0.011,0.000,0.613,0.229,-0.735,0.179,-0.200,0.002,0.186,0.017,4737,4622,-27,27,0,0.000,0,0
86861,0.110,0.003,-0.005,-0.001,0.591,0.240,-0.749,0.180,-0.200,0.002,0.239,0.014,4498,4472,-39,39,0,0.000,0,0
86961,0.180,0.002,0.012,-0.000,0.611,0.241,-0.730,0.190,-0.200,0.002,0.183,0.017,4386,4289,-18,18,0,0.000,0,0
87061,0.050,0.001,0.005,-0.001,0.626,0.239,-0.716,0.197,-0.200,0.001,0.140,0.018,4276,4185,-13,13,0,0.000,0,0
87161,0.120,0.001,0.007,0.000,0.633,0.239,-0.709,0.199,-0.200,0.001,0.120,0.019,4109,4009,-12,12,0,0.000,0,0
87261,0.170,0.002,0.013,0.003,0.651,0.232,-0.691,0.213,-0.200,0.000,0.062,0.008,3767,3927,3,-3,0,0.000,0,0
87361,0.000,0.002,0.018,0.003,0.678,0.220,-0.663,0.230,-0.200,0.000,-0.024,-0.007,3466,3892,23,-23,0,0.000,0,0
87461,-0.120,0.000,0.012,0.001,0.703,0.208,-0.634,0.247,-0.200,0.001,-0.117,-0.021,3365,3933,40,-41,0,0.000,0,0
87561,-0.410,-0.000,-0.010,-0.000,0.702,0.206,-0.635,0.248,-0.200,0.001,-0.109,-0.026,3421,3955,30,-30,0,0.000,0,0
87661,-0.220,-0.001,-0.016,-0.001,0.678,0.216,-0.661,0.238,-0.200,0.000,-0.033,-0.021,3638,3965,10,-10,0,0.000,0,0
87761,-0.210,-0.000,-0.018,-0.001,0.651,0.228,-0.689,0.224,-0.200,-0.000,0.053,-0.012,3733,3875,-10,10,0,0.000,0,0
87861,0.090,0.001,-0.016,-0.001,0.623,0.239,-0.714,0.211,-0.200,-0.000,0.135,-0.004,3734,3778,-26,26,0,0.000,0,0
87961,-0.040,0.001,-0.021,0.000,0.588,0.252,-0.743,0.199,-0.200,-0.000,0.232,-0.001,3670,3721,-49,49,0,0.000,0,0
88061,0.080,0.002,-0.019,0.000,0.549,0.263,-0.771,0.188,-0.200,-0.000,0.331,-0.001,3481,3599,-72,72,0,0.000,0,0
88161,0.390,0.001,-0.008,0.001,0.523,0.271,-0.788,0.181,-0.200,-0.000,0.396,-0.002,3055,3244,-84,84,0,0.000,0,0
88261,0.590,0.001,-0.002,-0.000,0.512,0.274,-0.795,0.177,-0.200,-0.000,0.423,0.000,2478,2634,-89,89,0,0.000,0,0
88361,0.270,0.003,0.011,0.000,0.519,0.273,-0.789,0.184,-0.200,-0.001,0.396,-0.005,1359,1882,-81,81,0,0.000,0,0
88461,0.040,0.007,0.018,-0.001,0.550,0.273,-0.763,0.204,-0.200,-0.002,0.316,-0.011,0,1466,-63,63,0,0.000,0,0
88561,-0.010,0.001,0.013,-0.001,0.577,0.274,-0.737,0.221,-0.200,-0.001,0.238,-0.011,0,992,-51,51,0,0.000,0,0
88661,-0.200,-0.002,0.014,-0.001,0.602,0.267,-0.718,0.226,-0.200,-0.000,0.174,-0.003,0,514,-40,40,0,0.000,0,0
88761,0.040,-0.003,0.009,-0.001,0.621,0.259,-0.704,0.229,-0.200,-0.000,0.124,-0.001,0,574,-34,33,0,0.000,0,0
88861,0.160,-0.001,0.005,-0.001,0.633,0.254,-0.695,0.228,-0.200,0.000,0.094,0.005,261,0,-31,31,0,0.000,0,0
88961,0.020,0.000,0.002,0.001,0.644,0.251,-0.686,0.229,-0.200,0.000,0.067,0.010,447,0,-26,26,0,0.000,0,0
89061,0.190,0.009,-0.003,0.005,0.640,0.252,-0.685,0.239,-0.200,-0.000,0.066,-0.005,0,1188,-30,30,0,0.000,0,0
89161,0.670,0.019,-0.000,0.006,0.627,0.269,-0.677,0.277,-0.200,-0.001,0.061,-0.038,0,1939,-28,29,0,0.000,0,0
89261,0.290,0.028,-0.003,0.004,0.595,0.302,-0.667,0.330,-0.200,-0.005,0.073,-0.081,0,2520,-33,34,0,0.000,0,0
89361,0.040,0.023,0.003,0.004,0.571,0.332,-0.643,0.388,-0.200,-0.007,0.047,-0.120,0,2806,-25,25,0,0.000,0,0
89461,-0.430,0.010,-0.006,0.001,0.548,0.355,-0.636,0.411,-0.200,-0.010,0.062,-0.133,0,2824,-33,33,0,0.000,0,0
89561,-0.210,0.000,0.003,-0.003,0.541,0.366,-0.632,0.417,-0.200,-0.010,0.068,-0.130,0,2650,-33,33,0,0.000,0,0
89661,-0.080,-0.002,0.002,-0.002,0.551,0.364,-0.628,0.411,-0.200,-0.007,0.054,-0.115,0,2362,-30,30,0,0.000,0,0
