Timestamp,rpm_target_2,rpm_target_4,Temperature,Voltage,RPM2,RPM4
5074,5000,5000,0,0.000,0,0
5174,5000,5000,0,0.000,0,0
5274,5000,5000,0,0.000,0,0
5374,5000,5000,0,0.000,0,0
5474,5000,5000,0,0.000,0,0
5574,5000,5000,0,0.000,0,0
5674,5000,5000,0,0.000,0,0
5774,5000,5000,0,0.000,0,0
5874,5000,5000,0,0.000,0,0
5974,5000,5000,0,0.000,0,0
6074,5000,5000,0,0.000,0,0
6174,5000,5000,0,0.000,0,0
6274,5000,5000,0,0.000,0,0
6374,5000,5000,0,0.000,0,0
6474,5500,5500,0,0.000,0,0
6574,5500,5500,0,0.000,0,0
6674,5500,5500,0,0.000,0,0
6774,5500,5500,0,0.000,0,0
6874,5500,5500,0,0.000,0,0
6974,6000,6000,0,0.000,0,0
7074,6000,6000,0,0.000,0,0
7174,6000,6000,0,0.000,0,0
7274,6000,6000,0,0.000,0,0
7374,6000,6000,0,0.000,0,0
7474,6500,6500,0,0.000,0,0
7574,6500,6500,0,0.000,0,0
7674,6500,6500,0,0.000,0,0
7774,6500,6500,0,0.000,0,0
7874,6500,6500,0,0.000,0,0
7974,7000,7000,0,0.000,0,0
8074,7000,7000,0,0.000,0,0
8174,7000,7000,0,0.000,0,0
8274,7000,7000,0,0.000,0,0
8374,7000,7000,0,0.000,0,0
8474,7500,7500,0,0.000,0,0
8574,7500,7500,0,0.000,0,0
8674,7500,7500,0,0.000,0,0
8774,7500,7500,0,0.000,0,0
8874,7500,7500,0,0.000,0,0
8974,8000,8000,0,0.000,0,0
9074,8000,8000,0,0.000,0,0
9174,8000,8000,0,0.000,0,0
9274,8000,8000,0,0.000,0,0
9374,8000,8000,0,0.000,0,0
9474,8500,8500,0,0.000,0,0
9574,8500,8500,0,0.000,0,0
9674,8500,8500,0,0.000,0,0
9774,8500,8500,0,0.000,0,0
9874,8500,8500,0,0.000,0,0
9974,9000,9000,0,0.000,0,0
10074,9000,9000,0,0.000,0,0
10174,9000,9000,0,0.000,0,0
10274,9000,9000,0,0.000,0,0
10374,9000,9000,0,0.000,0,0
10474,9500,9500,0,0.000,0,0
10574,9500,9500,0,0.000,0,0
10674,9500,9500,0,0.000,0,0
10774,9500,9500,0,0.000,0,0
10874,9500,9500,0,0.000,0,0
10974,10000,10000,0,0.000,0,0
11074,10000,10000,0,0.000,0,0
11174,10000,10000,0,0.000,0,0
11274,10000,10000,0,0.000,0,0
11374,10000,10000,0,0.000,0,0
11474,9500,10000,0,0.000,0,0
11574,9500,10000,0,0.000,0,0
11674,9500,10000,0,0.000,0,0
11774,9500,10000,0,0.000,0,0
11874,9500,10000,0,0.000,0,0
11974,9000,10000,0,0.000,0,0
12074,9000,10000,0,0.000,0,0
12174,9000,10000,0,0.000,0,0
12274,9000,10000,0,0.000,0,0
12374,9000,10000,0,0.000,0,0
12474,8500,10000,0,0.000,0,0
12574,8500,10000,0,0.000,0,0
12674,8500,10000,0,0.000,0,0
12774,8500,10000,0,0.000,0,0
12874,8500,10000,0,0.000,0,0
12974,8000,10000,0,0.000,0,0
13074,8000,10000,0,0.000,0,0
13174,8000,10000,0,0.000,0,0
13274,8000,10000,0,0.000,0,0
13374,8000,10000,0,0.000,0,0
13474,7500,10000,0,0.000,0,0
13574,7500,10000,0,0.000,0,0
13674,7500,10000,0,0.000,0,0
13774,7500,10000,0,0.000,0,0
13874,7500,10000,0,0.000,0,0
13974,7000,10000,0,0.000,0,0
14074,7000,10000,0,0.000,0,0
14174,7000,10000,0,0.000,0,0
14274,7000,10000,0,0.000,0,0
14374,7000,10000,0,0.000,0,0
14474,6500,10000,0,0.000,0,0
14574,6500,10000,0,0.000,0,0
14674,6500,10000,0,0.000,0,0
14774,6500,10000,0,0.000,0,0
14874,6500,10000,0,0.000,0,0
14974,6000,10000,0,0.000,0,0
