Timestamp,curr_ax,curr_roll_rate,curr_pitch_rate,curr_yaw_rate,curr_qw,curr_qx,curr_qy,curr_qz,ax_ref,p_ref,q_ref,r_ref,omega_L_ref,omega_R_ref,servo_L_ref,servo_R_ref,Temperature,Voltage,RPM2,RPM4
58016,0.260,-0.004,0.002,0.001,0.446,0.495,-0.485,0.567,-0.200,0.007,-0.041,-0.108,3035,0,18,-18,0,0.000,0,0
58115,0.220,-0.002,0.002,-0.000,0.450,0.489,-0.486,0.567,-0.200,0.008,-0.050,-0.111,3086,0,20,-20,0,0.000,0,0
58215,0.060,-0.001,0.001,-0.000,0.453,0.491,-0.486,0.563,-0.200,0.007,-0.046,-0.102,2924,0,18,-17,0,0.000,0,0
58315,0.010,-0.001,0.001,0.000,0.457,0.494,-0.486,0.558,-0.200,0.006,-0.040,-0.090,2822,0,16,-16,0,0.000,0,0
58415,-0.040,-0.001,-0.000,-0.001,0.462,0.497,-0.484,0.552,-0.200,0.004,-0.037,-0.075,2663,0,16,-16,0,0.000,0,0
58515,0.050,-0.000,-0.001,-0.000,0.465,0.500,-0.485,0.546,-0.200,0.003,-0.029,-0.065,2619,0,13,-13,0,0.000,0,0
58615,0.060,0.000,-0.001,-0.000,0.465,0.506,-0.487,0.539,-0.200,0.002,-0.013,-0.055,2542,0,7,-8,0,0.000,0,0
58715,0.130,-0.001,0.001,-0.001,0.466,0.510,-0.489,0.532,-0.200,0.001,-0.002,-0.045,2471,0,5,-5,0,0.000,0,0
58815,0.030,-0.001,0.001,-0.002,0.473,0.508,-0.490,0.528,-0.200,0.001,-0.004,-0.037,2412,0,7,-7,0,0.000,0,0
58915,0.000,-0.001,0.001,-0.001,0.480,0.507,-0.489,0.523,-0.200,0.000,-0.008,-0.025,2288,0,8,-8,0,0.000,0,0
59015,-0.020,-0.000,-0.000,-0.001,0.485,0.506,-0.490,0.519,-0.200,0.000,-0.009,-0.018,2266,0,8,-8,0,0.000,0,0
59115,0.020,-0.000,-0.001,-0.001,0.487,0.506,-0.490,0.516,-0.200,0.000,-0.007,-0.013,2251,0,7,-7,0,0.000,0,0
59215,0.000,-0.000,-0.001,-0.001,0.488,0.508,-0.490,0.514,-0.200,0.000,-0.004,-0.007,2218,0,6,-6,0,0.000,0,0
59315,0.050,-0.000,-0.000,-0.001,0.489,0.510,-0.491,0.511,-0.200,0.000,0.000,-0.003,2183,0,5,-5,0,0.000,0,0
59415,0.000,-0.000,-0.000,-0.001,0.490,0.511,-0.490,0.508,-0.200,0.000,0.003,0.003,2108,0,4,-4,0,0.000,0,0
59515,0.000,0.000,-0.000,-0.000,0.491,0.512,-0.490,0.507,-0.200,0.000,0.004,0.006,2119,0,4,-4,0,0.000,0,0
59615,0.010,0.000,-0.000,0.000,0.491,0.512,-0.490,0.507,-0.200,0.000,0.005,0.006,2144,0,4,-4,0,0.000,0,0
59715,0.000,0.000,-0.000,-0.000,0.490,0.512,-0.491,0.507,-0.200,0.000,0.006,0.005,2172,0,3,-3,0,0.000,0,0
59815,0.000,-0.000,-0.000,-0.000,0.490,0.513,-0.491,0.506,-0.200,0.000,0.008,0.007,2125,0,3,-3,0,0.000,0,0
59915,0.000,-0.000,0.000,-0.000,0.490,0.513,-0.491,0.505,-0.200,0.000,0.009,0.007,2113,0,2,-3,0,0.000,0,0
60015,0.000,-0.000,-0.000,0.000,0.490,0.514,-0.491,0.504,-0.200,0.000,0.010,0.008,2101,0,2,-2,0,0.000,0,0
60115,0.020,0.000,0.000,0.000,0.490,0.514,-0.492,0.504,-0.200,0.000,0.011,0.007,2111,0,2,-2,0,0.000,0,0
60215,-0.020,0.000,-0.000,0.000,0.490,0.514,-0.491,0.505,-0.200,0.000,0.011,0.007,2096,0,2,-2,0,0.000,0,0
60315,0.010,0.000,-0.001,-0.000,0.490,0.514,-0.492,0.504,-0.200,0.000,0.012,0.008,2073,0,1,-1,0,0.000,0,0
60415,-0.010,-0.000,-0.000,-0.000,0.489,0.515,-0.492,0.503,-0.200,0.000,0.015,0.008,2059,0,0,0,0,0.000,0,0
60515,0.010,0.000,0.000,0.000,0.488,0.516,-0.492,0.503,-0.200,0.000,0.016,0.008,2046,0,0,0,0,0.000,0,0
60615,-0.040,0.000,0.000,0.000,0.489,0.516,-0.492,0.503,-0.200,0.000,0.015,0.009,2026,0,0,0,0,0.000,0,0
60715,-0.050,0.000,-0.000,0.000,0.488,0.516,-0.492,0.503,-0.200,0.000,0.016,0.009,2015,0,0,0,0,0.000,0,0
60815,0.020,0.000,0.000,0.000,0.487,0.516,-0.492,0.504,-0.200,0.000,0.017,0.007,2049,0,-1,1,0,0.000,0,0
60915,-0.010,-0.000,0.000,-0.000,0.487,0.517,-0.492,0.503,-0.200,0.000,0.018,0.008,2000,0,-1,1,0,0.000,0,0
61015,-0.090,-0.000,0.000,-0.000,0.488,0.516,-0.492,0.503,-0.200,0.000,0.017,0.008,1985,0,-1,1,0,0.000,0,0
61115,0.000,0.000,-0.001,-0.000,0.488,0.516,-0.492,0.503,-0.200,0.000,0.018,0.009,1955,0,-1,1,0,0.000,0,0
61215,0.000,0.000,-0.000,0.000,0.488,0.517,-0.493,0.502,-0.200,0.000,0.020,0.009,1948,0,-2,2,0,0.000,0,0
61315,0.010,0.000,-0.001,0.000,0.487,0.517,-0.493,0.502,-0.200,0.000,0.021,0.009,1939,0,-2,2,0,0.000,0,0
61415,-0.160,-0.000,0.001,-0.000,0.487,0.517,-0.492,0.503,-0.200,0.000,0.020,0.009,1925,0,-2,2,0,0.000,0,0
61515,-1.110,0.001,-0.004,0.000,0.485,0.518,-0.492,0.504,-0.200,0.000,0.021,0.007,2698,0,-3,3,0,0.000,0,0
61615,-1.450,0.001,-0.002,-0.003,0.476,0.530,-0.498,0.494,-0.200,0.000,0.058,0.013,3618,2611,-16,16,0,0.000,0,0
61715,0.340,0.001,-0.005,0.000,0.473,0.537,-0.499,0.489,-0.200,0.001,0.075,0.021,3622,2813,-22,21,0,0.000,0,0
61815,1.740,-0.000,-0.005,-0.001,0.463,0.546,-0.506,0.481,-0.200,0.001,0.109,0.018,2517,706,-33,33,0,0.000,0,0
61915,1.780,-0.000,-0.001,0.001,0.461,0.547,-0.509,0.478,-0.200,0.001,0.117,0.018,1711,0,-34,34,0,0.000,0,0
62015,1.460,0.000,0.006,0.002,0.461,0.544,-0.509,0.482,-0.200,0.001,0.110,0.012,1857,0,-28,28,0,0.000,0,0
62115,0.340,0.000,0.007,0.001,0.471,0.531,-0.500,0.496,-0.200,0.000,0.064,0.006,1910,0,-14,14,0,0.000,0,0
62215,-1.280,0.001,0.006,0.000,0.478,0.523,-0.492,0.505,-0.200,0.000,0.033,0.003,2579,0,-5,5,0,0.000,0,0
62315,-1.900,0.001,0.004,0.003,0.484,0.513,-0.485,0.517,-0.200,0.000,-0.002,-0.005,4044,2828,5,-5,0,0.000,0,0
62415,-0.450,0.001,-0.001,0.002,0.479,0.510,-0.488,0.522,-0.200,0.000,-0.004,-0.021,4660,3337,3,-3,0,0.000,0,0
62515,0.360,-0.002,-0.001,-0.003,0.481,0.510,-0.490,0.518,-0.200,0.000,0.001,-0.016,4328,3208,0,-1,0,0.000,0,0
62615,0.500,-0.003,-0.000,-0.011,0.489,0.514,-0.487,0.509,-0.200,0.000,0.004,0.008,3680,3058,0,0,0,0.000,0,0
62715,0.130,-0.004,0.004,-0.016,0.518,0.525,-0.472,0.483,-0.200,0.004,-0.003,0.087,2167,3625,3,-3,0,0.000,0,0
62815,-0.180,-0.003,0.012,-0.011,0.550,0.526,-0.447,0.470,-0.200,-0.016,-0.048,0.158,0,3978,21,-20,0,0.000,0,0
62915,-0.420,-0.004,0.027,-0.002,0.589,0.499,-0.411,0.486,-0.200,-0.033,-0.168,0.185,0,4104,66,-64,0,0.000,0,0
63015,-0.800,-0.006,0.027,0.003,0.620,0.455,-0.376,0.517,-0.200,-0.042,-0.310,0.171,1770,4039,111,-110,0,0.000,0,0
63115,-0.260,-0.004,0.016,0.005,0.640,0.412,-0.349,0.547,-0.200,-0.041,-0.430,0.140,2523,3959,146,-145,0,0.000,0,0
63215,-0.320,-0.002,0.014,0.008,0.650,0.377,-0.335,0.568,-0.200,-0.033,-0.510,0.104,2886,3837,169,-169,0,0.000,0,0
63315,-0.290,-0.002,0.013,0.010,0.651,0.345,-0.323,0.594,-0.200,-0.021,-0.578,0.061,3289,3651,191,-191,0,0.000,0,0
63415,0.090,-0.001,0.012,0.007,0.649,0.313,-0.311,0.621,-0.200,-0.006,-0.651,0.016,3351,3288,200,-200,0,0.000,0,0
63515,-0.090,0.000,0.006,0.003,0.649,0.294,-0.303,0.632,-0.200,0.000,-0.685,-0.001,3159,3144,200,-200,0,0.000,0,0
63615,-0.020,0.001,0.004,0.003,0.651,0.283,-0.299,0.638,-0.200,0.004,-0.707,-0.012,2924,3000,200,-200,0,0.000,0,0
63715,-0.170,0.001,0.005,0.002,0.650,0.277,-0.292,0.645,-0.200,0.006,-0.726,-0.015,2742,2936,200,-200,0,0.000,0,0
63815,-0.090,0.000,0.004,0.003,0.649,0.266,-0.284,0.653,-0.200,0.010,-0.752,-0.024,2804,2816,200,-200,0,0.000,0,0
63915,-0.140,-0.000,0.001,0.001,0.650,0.260,-0.283,0.656,-0.200,0.012,-0.762,-0.030,2745,2680,200,-200,0,0.000,0,0
64015,-0.030,-0.000,-0.000,0.000,0.651,0.258,-0.283,0.655,-0.200,0.013,-0.765,-0.033,2669,2550,200,-200,0,0.000,0,0
64115,0.010,-0.000,-0.000,0.001,0.651,0.258,-0.284,0.654,-0.200,0.013,-0.763,-0.034,2515,2343,200,-200,0,0.000,0,0
64215,-0.120,0.000,-0.001,0.001,0.651,0.258,-0.286,0.654,-0.200,0.014,-0.761,-0.036,2424,2109,200,-200,0,0.000,0,0
64315,-0.120,0.000,-0.000,0.001,0.650,0.258,-0.286,0.654,-0.200,0.014,-0.760,-0.036,2374,1954,200,-200,0,0.000,0,0
64415,-0.070,0.000,-0.001,0.001,0.649,0.259,-0.287,0.655,-0.200,0.014,-0.758,-0.037,2366,1822,200,-200,0,0.000,0,0
64515,-0.340,0.000,-0.001,0.000,0.648,0.261,-0.289,0.655,-0.200,0.015,-0.752,-0.038,2392,1715,200,-200,0,0.000,0,0
64615,-0.420,0.001,-0.004,0.000,0.646,0.265,-0.293,0.653,-0.200,0.014,-0.741,-0.037,2614,1987,200,-200,0,0.000,0,0
64715,0.000,0.001,-0.003,0.001,0.642,0.273,-0.298,0.652,-0.200,0.013,-0.722,-0.035,2537,1802,200,-200,0,0.000,0,0
64815,0.640,0.000,-0.004,-0.001,0.639,0.280,-0.302,0.649,-0.200,0.013,-0.706,-0.032,1935,904,200,-200,0,0.000,0,0
64915,1.180,-0.000,-0.001,-0.000,0.638,0.285,-0.307,0.646,-0.200,0.011,-0.692,-0.030,1316,0,200,-200,0,0.000,0,0
65015,0.530,-0.001,0.004,0.000,0.640,0.281,-0.304,0.648,-0.200,0.011,-0.702,-0.033,1472,0,200,-200,0,0.000,0,0
65115,-0.590,-0.001,-0.001,-0.001,0.643,0.276,-0.302,0.648,-0.200,0.012,-0.713,-0.034,1715,0,200,-200,0,0.000,0,0
65215,-0.950,-0.001,-0.017,-0.001,0.638,0.290,-0.316,0.639,-0.200,0.010,-0.671,-0.031,2590,1397,200,-200,0,0.000,0,0
65315,-1.500,0.000,-0.034,-0.000,0.618,0.333,-0.357,0.617,-0.200,0.008,-0.545,-0.028,3481,2720,200,-200,0,0.000,0,0
65415,-1.880,0.003,-0.039,-0.000,0.576,0.400,-0.419,0.576,-0.200,0.003,-0.333,-0.021,4525,4055,162,-162,0,0.000,0,0
65515,-0.210,-0.001,-0.017,-0.003,0.547,0.444,-0.458,0.542,-0.200,0.001,-0.187,-0.011,4922,4631,127,-127,0,0.000,0,0
65615,0.500,0.000,-0.010,0.000,0.533,0.463,-0.476,0.524,-0.200,0.000,-0.113,-0.005,4692,4363,112,-112,0,0.000,0,0
65715,0.660,0.001,-0.010,0.000,0.519,0.477,-0.489,0.514,-0.200,0.000,-0.066,-0.007,4341,3880,100,-100,0,0.000,0,0
65815,0.460,0.000,-0.005,-0.001,0.509,0.489,-0.499,0.503,-0.200,-0.000,-0.023,-0.004,3822,3353,89,-89,0,0.000,0,0
65915,0.350,-0.000,-0.001,-0.001,0.508,0.493,-0.501,0.498,-0.200,0.000,-0.013,0.003,3442,3042,89,-89,0,0.000,0,0
66015,2.010,0.001,-0.003,-0.000,0.505,0.496,-0.503,0.496,-0.200,-0.000,-0.002,0.002,2128,1205,86,-86,0,0.000,0,0
66115,2.450,-0.001,-0.003,-0.004,0.503,0.504,-0.504,0.489,-0.200,0.000,0.017,0.014,665,0,80,-80,0,0.000,0,0
66215,0.660,0.001,-0.003,-0.003,0.502,0.513,-0.504,0.481,-0.200,0.000,0.034,0.031,0,837,74,-74,0,0.000,0,0
66315,-0.330,-0.003,0.005,-0.004,0.506,0.518,-0.499,0.476,-0.200,-0.000,0.034,0.049,0,1485,77,-77,0,0.000,0,0
66415,-0.460,0.002,-0.000,-0.001,0.514,0.515,-0.488,0.482,-0.200,-0.001,0.007,0.060,193,2138,86,-86,0,0.000,0,0
66515,0.240,0.003,-0.002,-0.000,0.507,0.521,-0.483,0.487,-0.200,0.002,0.010,0.058,0,1677,82,-82,0,0.000,0,0
66615,-0.630,-0.002,0.001,0.000,0.505,0.523,-0.482,0.489,-0.200,0.002,0.013,0.057,358,2083,82,-82,0,0.000,0,0
66715,-1.090,0.000,-0.001,-0.000,0.502,0.527,-0.482,0.488,-0.200,0.002,0.020,0.058,1976,2992,79,-79,0,0.000,0,0
66815,-1.090,0.001,0.000,0.001,0.498,0.531,-0.481,0.489,-0.200,0.002,0.025,0.058,2856,3693,78,-78,0,0.000,0,0
66915,-0.970,-0.001,-0.001,0.001,0.494,0.532,-0.481,0.492,-0.200,0.002,0.028,0.053,3517,4200,77,-77,0,0.000,0,0
67015,-0.390,-0.002,-0.001,0.001,0.492,0.532,-0.483,0.492,-0.200,0.002,0.032,0.049,3808,4480,76,-76,0,0.000,0,0
67115,-0.040,-0.001,0.001,0.001,0.493,0.529,-0.486,0.491,-0.200,0.002,0.032,0.046,3750,4464,76,-76,0,0.000,0,0
67215,0.060,-0.001,0.001,-0.000,0.495,0.527,-0.486,0.491,-0.200,0.002,0.028,0.044,3530,4359,77,-77,0,0.000,0,0
67315,0.010,-0.001,0.001,0.000,0.497,0.525,-0.486,0.490,-0.200,0.002,0.024,0.046,3261,4252,78,-78,0,0.000,0,0
67415,0.050,-0.000,0.000,-0.000,0.498,0.524,-0.485,0.491,-0.200,0.001,0.020,0.046,3031,4149,79,-79,0,0.000,0,0
