Timestamp,curr_ax,curr_roll_rate,curr_pitch_rate,curr_yaw_rate,curr_qw,curr_qx,curr_qy,curr_qz,ax_ref,p_ref,q_ref,r_ref,omega_L_ref,omega_R_ref,servo_L_ref,servo_R_ref,Temperature,Voltage,RPM2,RPM4
67749,0.100,-0.001,-0.002,-0.006,0.642,0.002,-0.766,-0.025,-0.200,0.004,0.174,0.040,0,1418,-69,69,0,0.000,305,305
67970,0.200,0.001,-0.003,0.007,0.667,0.004,-0.744,-0.027,-0.200,0.002,0.108,0.046,0,1376,-33,33,0,0.000,305,305
68189,-0.110,0.001,-0.013,-0.002,0.646,0.002,-0.763,-0.027,-0.200,0.004,0.164,0.044,0,2051,-112,112,34,15.750,305,305
68525,0.130,-0.004,0.002,-0.004,0.644,0.006,-0.764,-0.035,-0.200,0.005,0.169,0.061,0,2418,-49,48,34,15.750,305,305
68751,0.040,0.000,-0.003,-0.005,0.621,0.020,-0.781,-0.055,-0.200,0.012,0.224,0.109,0,3071,-100,100,34,15.750,305,305
68861,0.600,0.004,-0.002,0.005,0.614,0.027,-0.787,-0.051,-0.200,0.014,0.243,0.112,0,3021,-99,99,34,15.750,305,305
68865,0.600,0.004,-0.001,0.005,0.614,0.026,-0.787,-0.049,-0.200,0.014,0.244,0.109,0,2969,-98,97,34,15.750,305,305
68872,0.560,0.004,-0.001,0.005,0.614,0.026,-0.787,-0.049,-0.200,0.014,0.244,0.109,0,2969,-98,97,34,15.750,305,305
68879,0.550,0.003,0.001,0.006,0.614,0.026,-0.787,-0.048,-0.200,0.013,0.244,0.106,0,2912,-95,95,34,15.750,305,305
68883,0.550,0.003,0.001,0.006,0.614,0.026,-0.787,-0.048,-0.200,0.013,0.244,0.106,0,2912,-95,95,34,15.750,305,305
68888,0.540,0.002,0.002,0.007,0.615,0.024,-0.787,-0.046,-0.200,0.013,0.243,0.102,0,2853,-92,92,34,15.750,305,305
68892,0.540,0.002,0.002,0.007,0.615,0.024,-0.787,-0.046,-0.200,0.013,0.243,0.102,0,2853,-92,92,34,15.750,305,305
68948,0.160,0.001,0.005,0.008,0.620,0.015,-0.784,-0.037,-0.200,0.009,0.231,0.076,0,2513,-77,77,34,15.750,305,305
69048,0.000,0.002,0.008,0.002,0.634,0.011,-0.773,-0.026,-0.200,0.005,0.195,0.054,0,2395,-58,58,34,15.750,305,305
69148,-0.070,0.002,0.002,-0.002,0.645,0.019,-0.764,-0.021,-0.200,0.005,0.169,0.057,0,2639,-63,62,34,15.750,305,305
69248,-0.150,0.001,-0.015,0.001,0.626,0.020,-0.779,-0.024,-0.200,0.007,0.218,0.062,0,2734,-124,124,34,15.750,305,305
