Timestamp,curr_ax,curr_roll_rate,curr_pitch_rate,curr_yaw_rate,curr_qw,curr_qx,curr_qy,curr_qz,ax_ref,p_ref,q_ref,r_ref,omega_L_ref,omega_R_ref,servo_L_ref,servo_R_ref,Temperature,Voltage,RPM2,RPM4
76455,0.120,-0.001,0.004,-0.000,0.489,0.500,-0.477,0.533,-0.200,0.001,-0.045,-0.019,0,910,7,-7,0,0.000,0,0
76554,0.110,-0.000,0.006,-0.001,0.497,0.492,-0.471,0.537,-0.200,0.001,-0.072,-0.017,0,768,15,-15,0,0.000,0,0
76654,0.220,0.000,0.004,-0.003,0.507,0.486,-0.462,0.541,-0.200,0.000,-0.100,-0.007,444,0,23,-23,0,0.000,0,0
76754,0.110,0.001,0.003,-0.003,0.514,0.486,-0.455,0.541,-0.200,-0.000,-0.114,0.006,1027,0,27,-27,0,0.000,0,0
76854,-0.240,-0.001,-0.000,-0.003,0.522,0.485,-0.451,0.537,-0.200,-0.001,-0.122,0.021,1368,0,31,-31,0,0.000,0,0
76954,-0.670,0.002,-0.001,-0.001,0.525,0.488,-0.449,0.533,-0.200,-0.001,-0.119,0.034,2205,0,32,-32,0,0.000,0,0
77054,0.040,0.002,-0.002,0.004,0.516,0.494,-0.449,0.537,-0.200,-0.001,-0.109,0.027,2169,1385,32,-32,0,0.000,0,0
77154,0.640,-0.007,-0.010,-0.001,0.510,0.495,-0.464,0.529,-0.200,-0.000,-0.078,0.014,786,0,25,-26,0,0.000,0,0
77254,0.590,-0.009,-0.011,-0.003,0.512,0.501,-0.486,0.500,-0.200,0.000,-0.025,0.027,1443,0,14,-15,0,0.000,0,0
77354,0.540,-0.009,-0.012,-0.005,0.513,0.510,-0.509,0.466,-0.200,-0.000,0.039,0.049,1913,0,0,0,0,0.000,0,0
77454,0.430,-0.014,-0.008,-0.004,0.525,0.512,-0.528,0.428,-0.200,0.000,0.082,0.085,2422,0,-8,8,0,0.000,0,0
77554,-0.280,-0.009,0.001,-0.002,0.541,0.501,-0.546,0.398,-0.200,0.001,0.098,0.108,2566,0,-10,10,0,0.000,0,0
77654,-0.460,-0.010,-0.003,0.001,0.553,0.487,-0.557,0.384,-0.200,0.000,0.093,0.111,2589,0,-11,10,0,0.000,0,0
77754,-0.520,-0.006,0.001,0.001,0.559,0.476,-0.570,0.370,-0.200,0.001,0.102,0.111,2729,0,-15,14,0,0.000,0,0
77854,-0.430,0.001,-0.001,-0.001,0.562,0.474,-0.569,0.369,-0.200,0.001,0.096,0.112,2900,0,-15,16,0,0.000,0,0
77954,-0.220,0.006,0.003,-0.003,0.562,0.483,-0.560,0.370,-0.200,-0.000,0.095,0.129,3143,0,-17,17,0,0.000,0,0
78054,-0.030,0.006,0.005,0.004,0.561,0.483,-0.548,0.390,-0.200,-0.001,0.068,0.115,2792,0,-12,12,0,0.000,0,0
78154,0.100,0.008,0.001,-0.001,0.552,0.488,-0.541,0.405,-0.200,-0.001,0.062,0.101,2154,0,-14,14,0,0.000,0,0
78254,-0.140,0.012,-0.004,-0.004,0.542,0.508,-0.526,0.413,-0.200,-0.002,0.070,0.116,2460,0,-19,19,0,0.000,0,0
78354,-0.780,0.009,-0.000,0.003,0.524,0.525,-0.521,0.422,-0.200,-0.000,0.094,0.111,2463,0,-26,27,0,0.000,0,0
78454,-0.900,0.000,0.004,0.007,0.519,0.516,-0.519,0.442,-0.200,-0.000,0.070,0.077,2502,1561,-20,20,0,0.000,0,0
78554,0.520,-0.009,0.010,0.008,0.526,0.491,-0.529,0.450,-0.200,0.000,0.043,0.040,2291,2384,-14,14,0,0.000,0,0
78654,0.940,-0.010,0.011,0.002,0.548,0.452,-0.533,0.460,-0.200,-0.000,-0.024,0.005,876,1955,1,-2,0,0.000,0,0
78754,0.350,-0.004,-0.001,-0.004,0.565,0.440,-0.530,0.455,-0.200,-0.000,-0.051,0.015,911,0,3,-3,0,0.000,0,0
78854,-0.100,-0.007,0.001,-0.001,0.571,0.435,-0.537,0.443,-0.200,-0.001,-0.045,0.022,1236,0,2,-2,0,0.000,0,0
78954,-0.220,-0.008,0.000,0.005,0.576,0.418,-0.552,0.435,-0.200,0.000,-0.042,0.001,366,1080,2,-2,0,0.000,0,0
79054,0.550,-0.007,0.008,0.002,0.592,0.391,-0.554,0.435,-0.200,0.001,-0.081,-0.019,0,1231,15,-15,0,0.000,0,0
79154,-0.110,-0.009,0.004,0.000,0.606,0.371,-0.559,0.428,-0.200,0.001,-0.101,-0.030,0,1330,20,-20,0,0.000,0,0
79254,-0.310,-0.006,0.005,0.001,0.618,0.353,-0.562,0.421,-0.200,0.002,-0.118,-0.037,0,1677,26,-26,0,0.000,0,0
