Timestamp,curr_ax,curr_roll_rate,curr_pitch_rate,curr_yaw_rate,curr_qw,curr_qx,curr_qy,curr_qz,ax_ref,p_ref,q_ref,r_ref,omega_L_ref,omega_R_ref,servo_L_ref,servo_R_ref,Temperature,Voltage,RPM2,RPM4
282803,-0.180,0.000,-0.019,0.002,-0.723,-0.137,0.668,-0.109,-0.200,-0.002,-0.069,0.053,1810,3207,27,-27,0,0.000,0,0
282902,0.100,-0.001,-0.004,-0.001,-0.706,-0.138,0.687,-0.107,-0.200,-0.001,-0.019,0.048,1310,3198,11,-11,0,0.000,0,0
283002,-0.130,0.001,0.002,0.001,-0.704,-0.138,0.689,-0.106,-0.200,-0.000,-0.013,0.047,850,3182,14,-13,0,0.000,0,0
283102,-0.200,-0.001,0.002,0.003,-0.705,-0.133,0.688,-0.112,-0.200,-0.000,-0.019,0.034,1134,3053,17,-17,0,0.000,0,0
283202,-0.130,0.001,0.001,0.002,-0.700,-0.125,0.693,-0.116,-0.200,-0.000,-0.007,0.014,1231,2739,11,-11,0,0.000,0,0
283302,-0.330,-0.002,-0.002,-0.004,-0.695,-0.123,0.698,-0.116,-0.200,0.000,0.006,0.009,1183,2908,3,-3,0,0.000,0,0
283402,-0.460,0.000,-0.001,0.000,-0.697,-0.127,0.698,-0.105,-0.200,0.000,0.008,0.031,0,3225,3,-3,0,0.000,0,0
283502,-0.580,-0.001,-0.026,0.003,-0.664,-0.127,0.729,-0.105,-0.200,0.001,0.111,0.015,1350,3127,-64,64,0,0.000,0,0
283602,-0.270,-0.001,-0.012,0.001,-0.621,-0.127,0.768,-0.097,-0.200,0.001,0.212,0.010,1753,3299,-115,115,0,0.000,0,0
283702,0.040,0.001,0.007,0.002,-0.622,-0.126,0.767,-0.098,-0.200,0.001,0.208,0.006,1654,3219,-107,107,0,0.000,0,0
283802,-0.240,0.002,0.021,0.001,-0.645,-0.120,0.747,-0.108,-0.200,-0.001,0.144,-0.007,1739,3008,-71,71,0,0.000,0,0
283902,-0.560,0.005,0.036,0.000,-0.691,-0.115,0.703,-0.123,-0.200,-0.000,-0.004,-0.014,2087,3182,12,-12,0,0.000,0,0
284002,-0.430,0.003,0.034,0.003,-0.757,-0.105,0.629,-0.145,-0.200,0.002,-0.188,-0.024,2703,3384,110,-110,0,0.000,0,0
284102,-0.470,-0.002,-0.008,0.000,-0.776,-0.098,0.603,-0.158,-0.200,0.005,-0.255,-0.038,2880,3300,130,-130,0,0.000,0,0
284202,-0.800,-0.004,-0.025,-0.004,-0.738,-0.104,0.652,-0.141,-0.200,0.002,-0.129,-0.030,3168,3848,54,-54,0,0.000,0,0
284302,-0.010,-0.002,-0.012,-0.003,-0.706,-0.112,0.689,-0.121,-0.200,0.000,-0.027,-0.009,3029,4103,8,-8,0,0.000,0,0
284402,0.000,-0.001,-0.004,-0.002,-0.696,-0.114,0.700,-0.112,-0.200,0.000,0.005,0.003,2759,4004,-2,2,0,0.000,0,0
284502,-0.190,-0.000,0.000,-0.003,-0.694,-0.117,0.703,-0.106,-0.200,0.000,0.015,0.013,2631,4037,-4,4,0,0.000,0,0
284602,-0.250,0.001,0.003,-0.000,-0.696,-0.119,0.700,-0.105,-0.200,0.000,0.009,0.018,2647,4037,1,-1,0,0.000,0,0
