Timestamp,curr_ax,curr_roll_rate,curr_pitch_rate,curr_yaw_rate,curr_qw,curr_qx,curr_qy,curr_qz,ax_ref,p_ref,q_ref,r_ref,omega_L_ref,omega_R_ref,servo_L_ref,servo_R_ref,Temperature,Voltage,RPM2,RPM4
102761,0.120,0.003,-0.018,-0.003,0.401,0.633,-0.476,0.461,-0.200,0.011,0.256,0.069,4331,4309,-93,93,0,0.000,0,0
102860,0.670,0.000,-0.010,-0.001,0.388,0.652,-0.483,0.437,-0.200,0.016,0.322,0.082,3871,4010,-108,107,0,0.000,0,0
102960,0.360,-0.002,-0.006,-0.002,0.383,0.660,-0.490,0.421,-0.200,0.020,0.359,0.091,3316,3652,-119,118,0,0.000,0,0
103060,0.610,0.000,-0.005,-0.000,0.378,0.666,-0.497,0.408,-0.200,0.023,0.389,0.096,2764,3316,-127,127,0,0.000,305,305
103160,0.380,0.001,-0.004,-0.002,0.371,0.674,-0.501,0.396,-0.200,0.026,0.421,0.100,2142,3065,-139,138,0,0.000,305,305
103260,0.390,0.001,0.001,-0.002,0.369,0.678,-0.498,0.395,-0.200,0.027,0.427,0.103,1035,2639,-140,139,0,0.000,305,305
103360,0.430,0.000,0.003,-0.001,0.372,0.677,-0.495,0.398,-0.200,0.028,0.417,0.107,0,2118,-138,137,0,0.000,305,305
103460,0.330,-0.000,0.005,0.000,0.377,0.673,-0.491,0.405,-0.200,0.027,0.398,0.107,0,2053,-133,132,0,0.000,305,305
103560,0.410,-0.002,0.011,0.001,0.388,0.662,-0.487,0.417,-0.200,0.024,0.358,0.106,0,2149,-120,119,0,0.000,305,305
103660,0.090,-0.001,0.015,0.002,0.404,0.643,-0.478,0.442,-0.200,0.018,0.287,0.096,0,2108,-98,97,0,0.000,305,305
103760,-0.120,-0.004,0.021,0.001,0.433,0.613,-0.462,0.473,-0.200,0.012,0.178,0.093,0,2258,-62,62,35,16.200,305,305
103860,0.020,-0.003,0.012,0.001,0.460,0.584,-0.447,0.497,-0.200,0.007,0.078,0.093,0,2413,-35,35,35,16.200,305,305
103960,-0.150,-0.001,0.002,0.001,0.471,0.570,-0.443,0.507,-0.200,0.005,0.042,0.088,0,2439,-29,29,35,16.200,305,305
104060,-0.110,0.001,-0.001,0.002,0.469,0.565,-0.444,0.513,-0.200,0.004,0.034,0.075,0,2345,-30,30,35,16.200,305,305
104160,0.100,0.001,-0.002,0.001,0.463,0.565,-0.446,0.517,-0.200,0.003,0.038,0.062,0,2290,-33,33,35,16.200,305,305
104260,-0.230,0.002,-0.018,-0.001,0.448,0.581,-0.457,0.503,-0.200,0.004,0.092,0.060,0,2472,-56,56,35,16.200,305,305
104360,-0.410,0.002,-0.023,-0.002,0.416,0.617,-0.481,0.464,-0.200,0.009,0.225,0.066,0,2963,-104,103,35,16.200,305,305
104460,0.040,0.004,-0.011,0.001,0.387,0.642,-0.494,0.440,-0.200,0.011,0.317,0.062,0,2799,-128,128,35,16.210,305,305
104560,0.530,0.000,-0.003,-0.000,0.378,0.649,-0.498,0.435,-0.200,0.011,0.342,0.056,0,2636,-131,131,35,16.210,305,305
104660,0.420,0.001,-0.007,-0.000,0.370,0.652,-0.502,0.431,-0.200,0.010,0.360,0.049,0,2560,-138,137,35,16.210,305,305
104760,0.040,-0.002,-0.019,-0.001,0.356,0.668,-0.514,0.406,-0.200,0.013,0.431,0.052,0,2677,-167,167,35,16.210,305,305
104860,0.020,-0.000,-0.018,-0.002,0.326,0.689,-0.529,0.372,-0.200,0.016,0.529,0.054,0,2699,-200,200,35,16.220,305,305
104960,0.380,-0.000,0.008,-0.001,0.321,0.696,-0.530,0.362,-0.200,0.019,0.554,0.061,0,2785,-200,200,35,16.220,305,305
105060,0.030,-0.004,0.029,0.000,0.352,0.675,-0.514,0.394,-0.200,0.018,0.453,0.068,0,2862,-162,161,35,16.210,305,305
105160,-0.750,-0.003,0.045,0.001,0.411,0.624,-0.478,0.462,-0.200,0.011,0.237,0.071,0,3114,-79,79,35,16.210,305,305
105260,-0.920,-0.001,0.043,0.001,0.471,0.558,-0.425,0.535,-0.200,0.001,-0.017,0.070,0,3698,-8,8,35,16.210,305,305
105360,-0.350,0.001,0.013,0.001,0.495,0.519,-0.394,0.575,-0.200,-0.003,-0.152,0.060,0,3712,21,-20,35,16.230,305,305
105460,-0.230,0.001,0.006,0.001,0.498,0.505,-0.382,0.592,-0.200,-0.004,-0.200,0.050,1120,3732,28,-28,35,16.230,305,305
105560,0.120,0.002,0.005,0.001,0.500,0.496,-0.374,0.603,-0.200,-0.004,-0.229,0.045,889,3671,36,-36,35,16.210,305,305
105660,0.080,0.001,0.016,0.003,0.505,0.480,-0.360,0.620,-0.200,-0.005,-0.282,0.037,147,3450,56,-56,35,16.210,305,305
105760,-0.050,0.001,0.009,0.001,0.511,0.460,-0.346,0.638,-0.200,-0.005,-0.342,0.028,0,3219,75,-75,35,16.220,305,305
105860,-0.300,0.001,0.002,0.000,0.516,0.447,-0.336,0.649,-0.200,-0.005,-0.382,0.025,0,3297,86,-86,35,16.220,305,305
105960,-0.850,-0.000,-0.021,-0.002,0.508,0.469,-0.349,0.633,-0.200,-0.005,-0.321,0.034,696,3721,59,-59,35,16.220,305,305
106060,-1.900,0.001,-0.049,-0.003,0.469,0.547,-0.403,0.568,-0.200,-0.001,-0.077,0.049,2612,4724,-31,31,35,16.220,305,305
