Timestamp,r_ref,q_ref,curr_ax,curr_roll_rate,curr_pitch_rate,curr_yaw_rate,curr_qw,curr_qx,curr_qy,curr_qz,ax_ref,p_ref,omega_L_ref,omega_R_ref,servo_L_ref,servo_R_ref,Temperature,Voltage,RPM2,RPM4,Throttle2,Throttle4,ErrorCodes
77369,-0.242,-0.222,0.016,0.010,0.810,-0.033,0.522,0.447,-0.491,0.536,-0.200,0.002,4774,0,-18,20,0,0.000,0,0,0,0,0
77468,-0.251,-0.345,0.006,0.083,0.493,0.103,0.532,0.433,-0.476,0.550,-0.200,0.004,5974,0,-11,15,0,0.000,0,0,0,0,0
77568,-0.264,-0.380,0.009,0.084,-0.458,-0.020,0.533,0.431,-0.472,0.556,-0.200,0.004,5272,0,16,-11,0,0.000,0,0,0,0,0
77668,-0.259,-0.252,-0.039,0.042,-0.704,-0.029,0.516,0.450,-0.485,0.545,-0.200,0.002,5064,0,9,-10,0,0.000,0,0,0,0,0
77768,-0.225,-0.121,-0.074,-0.017,-0.768,-0.109,0.502,0.469,-0.500,0.527,-0.200,-0.000,4028,0,14,-15,0,0.000,305,305,0,0,0
77868,-0.186,0.078,-0.095,0.047,-1.283,-0.098,0.479,0.497,-0.522,0.501,-0.200,-0.002,3801,0,30,-26,0,0.000,305,305,0,0,0
77968,-0.152,0.260,-0.117,0.078,-0.283,-0.107,0.455,0.524,-0.538,0.478,-0.200,-0.002,3575,0,-2,5,0,0.000,305,305,0,0,0
78068,-0.144,0.299,-0.044,0.102,-0.222,0.014,0.448,0.532,-0.540,0.474,-0.200,-0.002,4682,0,8,-4,0,0.000,305,305,0,0,0
78168,-0.144,0.340,0.014,0.078,-0.238,0.022,0.440,0.539,-0.543,0.471,-0.200,-0.002,4717,0,11,-8,0,0.000,305,305,0,0,0
78268,-0.154,0.338,0.041,0.033,0.331,0.022,0.438,0.540,-0.541,0.473,-0.200,-0.002,4840,0,-6,6,0,0.000,305,305,0,0,0
78368,-0.160,0.275,0.047,-0.016,0.186,-0.004,0.446,0.532,-0.534,0.482,-0.200,-0.002,4676,0,3,-5,0,0.000,305,305,0,0,0
78468,-0.149,0.266,0.041,-0.024,0.106,-0.032,0.449,0.531,-0.533,0.482,-0.200,-0.002,4408,0,1,-2,0,0.000,305,305,0,0,0
78568,-0.134,0.256,0.049,-0.023,-0.017,-0.030,0.452,0.530,-0.532,0.482,-0.200,-0.002,4327,0,5,-5,0,0.000,305,305,0,0,0
78668,-0.120,0.258,0.045,-0.004,-0.023,-0.018,0.452,0.531,-0.531,0.481,-0.200,-0.001,4285,0,5,-5,0,0.000,305,305,0,0,0
78768,-0.103,0.265,0.045,-0.007,-0.022,-0.009,0.453,0.533,-0.531,0.479,-0.200,-0.001,4309,0,5,-4,0,0.000,305,305,0,0,0
78868,-0.091,0.264,0.065,0.016,0.046,-0.023,0.454,0.534,-0.530,0.478,-0.200,-0.001,4020,0,4,-3,0,0.000,305,305,0,0,0
78968,-0.071,0.255,0.067,0.011,0.096,-0.023,0.456,0.534,-0.528,0.478,-0.200,-0.001,3876,0,3,-2,33,16.540,305,305,0,0,0
79068,-0.064,0.218,0.065,0.001,0.357,0.011,0.461,0.530,-0.523,0.483,-0.200,-0.001,4179,0,-5,4,33,16.540,305,305,0,0,0
79168,-0.063,0.146,0.058,-0.039,0.460,-0.019,0.471,0.521,-0.515,0.492,-0.200,-0.000,3867,0,-7,6,33,16.540,305,305,0,0,0
79268,-0.051,0.048,0.051,-0.020,0.511,-0.037,0.485,0.509,-0.503,0.503,-0.200,-0.000,3564,0,-7,7,33,16.550,305,305,0,0,0
79368,-0.038,-0.031,0.068,0.040,0.414,0.004,0.495,0.500,-0.492,0.513,-0.200,0.000,3906,0,-7,9,33,16.550,305,305,0,0,0
79468,-0.044,-0.123,0.066,0.013,0.396,0.027,0.505,0.488,-0.480,0.525,-0.200,0.000,4161,0,-7,7,33,16.550,305,305,0,0,0
79568,-0.053,-0.161,0.041,0.008,0.004,0.024,0.509,0.483,-0.476,0.530,-0.200,0.001,4215,0,1,-1,33,16.550,305,305,0,0,0
79668,-0.054,-0.166,0.012,-0.023,0.021,-0.018,0.510,0.482,-0.476,0.531,-0.200,0.001,3797,0,-2,1,33,16.550,305,305,0,0,0
79768,-0.044,-0.169,0.002,-0.002,0.043,-0.033,0.511,0.482,-0.475,0.530,-0.200,0.001,3527,0,-3,3,33,16.550,305,305,0,0,0
79868,-0.037,-0.169,0.005,0.000,0.051,-0.010,0.511,0.483,-0.474,0.530,-0.200,0.000,3749,0,-4,4,33,16.540,305,305,0,0,0
79968,-0.035,-0.170,0.005,0.020,0.036,0.007,0.512,0.482,-0.474,0.530,-0.200,0.000,3949,0,-4,6,33,16.540,305,305,0,0,0
80068,-0.035,-0.196,0.014,-0.001,0.241,0.010,0.515,0.479,-0.471,0.533,-0.200,0.000,4014,0,-11,12,33,16.540,305,305,0,0,0
80168,-0.039,-0.245,0.014,-0.026,-0.073,-0.016,0.520,0.472,-0.465,0.539,-0.200,0.001,3729,0,1,-2,33,16.540,305,305,0,0,0
80268,-0.037,-0.242,-0.003,0.008,0.002,0.011,0.520,0.473,-0.465,0.538,-0.200,0.001,4011,0,-2,3,33,16.540,305,305,0,0,0
