Timestamp,r_ref,q_ref,curr_ax,curr_roll_rate,curr_pitch_rate,curr_yaw_rate,curr_qw,curr_qx,curr_qy,curr_qz,ax_ref,p_ref,omega_L_ref,omega_R_ref,servo_L_ref,servo_R_ref,Temperature,Voltage,RPM2,RPM4,Throttle2,Throttle4,ErrorCodes
44370,0.603,-0.262,0.043,-0.140,-0.310,-0.104,0.259,0.646,-0.130,0.706,-0.200,-0.007,8462,0,6,-2,0,0.000,0,0,0,0,0
44470,0.620,-0.281,0.045,0.030,0.564,-0.039,0.266,0.643,-0.132,0.706,-0.200,-0.007,8227,0,25,-31,0,0.000,0,0,0,0,0
44570,0.638,-0.454,0.080,0.058,0.634,-0.039,0.272,0.612,-0.118,0.734,-0.200,-0.014,8315,0,20,-25,0,0.000,0,0,0,0,0
44670,0.639,-0.416,0.146,-0.097,-0.462,0.023,0.275,0.618,-0.123,0.726,-0.200,-0.013,8015,0,1,1,0,0.000,305,305,0,0,0
44770,0.646,-0.377,0.164,0.090,-0.068,-0.073,0.277,0.625,-0.128,0.719,-0.200,-0.011,8516,0,9,-18,0,0.000,305,305,0,0,0
44870,0.571,-0.334,0.169,0.036,-0.373,-0.041,0.271,0.631,-0.139,0.714,-0.200,-0.009,7996,0,3,-6,0,0.000,305,305,0,0,0
44970,0.583,-0.262,0.225,0.004,-0.229,-0.186,0.271,0.643,-0.144,0.701,-0.200,-0.006,8745,0,8,-11,0,0.000,305,305,0,0,0
45070,0.606,-0.223,0.264,-0.028,-0.161,-0.144,0.272,0.651,-0.146,0.694,-0.200,-0.005,8664,0,9,-9,0,0.000,305,305,0,0,0
45170,0.580,-0.181,0.214,0.003,-0.231,-0.090,0.270,0.657,-0.153,0.687,-0.200,-0.003,8281,0,4,-8,0,0.000,305,305,0,0,0
45270,0.558,-0.135,0.126,0.061,-0.128,0.163,0.264,0.665,-0.155,0.681,-0.200,-0.002,6825,0,6,-12,0,0.000,305,305,0,0,0
45370,0.508,-0.151,0.146,0.028,0.171,0.059,0.259,0.662,-0.157,0.686,-0.200,-0.002,7137,0,13,-16,0,0.000,305,305,0,0,0
45470,0.523,-0.143,0.166,0.072,-0.163,-0.064,0.257,0.664,-0.154,0.685,-0.200,-0.002,7871,0,3,-8,0,0.000,305,305,0,0,0
45570,0.528,-0.131,0.187,0.019,0.009,-0.024,0.256,0.666,-0.153,0.683,-0.200,-0.002,7696,0,9,-12,0,0.000,305,305,0,0,0
45670,0.521,-0.129,0.160,0.047,0.040,0.040,0.255,0.667,-0.153,0.683,-0.200,-0.002,7313,0,9,-14,0,0.000,305,305,0,0,0
45770,0.484,-0.131,0.141,-0.016,0.006,-0.046,0.251,0.666,-0.155,0.685,-0.200,-0.002,7574,0,9,-10,0,0.000,305,305,0,0,0
45870,0.457,-0.121,0.168,-0.002,-0.037,-0.047,0.250,0.666,-0.160,0.684,-0.200,-0.001,7437,0,8,-11,0,0.000,305,305,0,0,0
45970,0.405,-0.112,0.169,-0.072,-0.048,0.034,0.247,0.667,-0.167,0.683,-0.200,-0.001,6680,0,9,-9,35,16.650,305,305,0,0,0
46070,0.320,-0.094,0.133,-0.020,-0.016,0.076,0.241,0.667,-0.177,0.682,-0.200,-0.001,5875,0,9,-11,35,16.650,305,305,0,0,0
46170,0.272,-0.096,0.113,0.002,0.014,0.043,0.237,0.666,-0.181,0.684,-0.200,-0.001,5771,0,8,-12,35,16.650,305,305,0,0,0
46270,0.263,-0.102,0.150,0.028,0.032,-0.041,0.234,0.665,-0.179,0.686,-0.200,-0.001,6273,0,8,-12,35,16.650,305,305,0,0,0
46370,0.261,-0.093,0.175,-0.031,-0.047,-0.002,0.233,0.667,-0.179,0.685,-0.200,-0.001,6007,0,8,-10,35,16.640,305,305,0,0,0
46470,0.226,-0.072,0.147,0.016,-0.098,0.014,0.228,0.670,-0.182,0.683,-0.200,-0.001,5652,0,6,-10,35,16.640,305,305,0,0,0
46570,0.179,-0.069,0.089,-0.054,0.098,0.172,0.221,0.670,-0.184,0.684,-0.200,-0.000,3939,0,14,-12,35,16.640,305,305,0,0,0
46670,0.118,-0.086,0.049,-0.107,-0.017,0.129,0.219,0.665,-0.191,0.688,-0.200,-0.000,3753,0,10,-7,35,16.640,305,305,0,0,0
46770,0.086,-0.057,0.095,-0.063,-0.221,0.036,0.218,0.668,-0.198,0.683,-0.200,-0.000,4360,0,4,-5,35,16.640,305,305,0,0,0
46870,0.044,-0.029,0.108,-0.146,-0.027,0.128,0.217,0.671,-0.207,0.678,-0.200,-0.000,2849,0,11,-9,35,16.650,305,305,0,0,0
46970,-0.015,-0.019,0.079,-0.182,-0.033,0.240,0.216,0.670,-0.216,0.677,-0.200,0.000,0,2463,11,-6,35,16.650,305,305,0,0,0
47070,-0.087,-0.007,-0.018,-0.107,-0.084,0.101,0.214,0.668,-0.228,0.675,-0.200,0.000,0,1286,7,-7,35,16.650,305,305,0,0,0
47170,-0.072,-0.002,-0.102,-0.121,0.011,-0.198,0.219,0.668,-0.230,0.673,-0.200,0.000,4835,0,10,-8,35,16.650,305,305,0,0,0
47270,-0.021,-0.006,-0.096,0.013,0.086,-0.098,0.225,0.668,-0.228,0.672,-0.200,0.000,4460,0,8,-13,35,16.630,305,305,0,0,0
47370,-0.034,-0.020,-0.075,0.006,-0.049,0.067,0.225,0.666,-0.228,0.674,-0.200,0.000,2356,0,5,-8,35,16.630,305,305,0,0,0
47470,-0.055,-0.027,-0.052,0.047,0.116,0.010,0.223,0.664,-0.229,0.676,-0.200,0.000,2825,0,10,-14,35,16.650,305,305,0,0,0
47570,-0.026,-0.048,-0.032,0.044,0.142,-0.094,0.224,0.662,-0.223,0.679,-0.200,0.000,4338,0,11,-14,35,16.650,305,305,0,0,0
47670,0.004,-0.068,0.006,-0.016,0.146,-0.132,0.228,0.659,-0.220,0.682,-0.200,-0.000,4953,0,12,-13,35,16.660,305,305,0,0,0
47770,0.042,-0.084,0.033,-0.010,0.061,-0.121,0.233,0.657,-0.216,0.683,-0.200,-0.000,5215,0,10,-12,35,16.660,305,305,0,0,0
47870,0.083,-0.086,0.027,-0.072,-0.051,-0.071,0.238,0.658,-0.215,0.682,-0.200,-0.000,5215,0,9,-8,35,16.660,305,305,0,0,0
47970,0.119,-0.084,0.009,-0.032,0.060,-0.134,0.242,0.659,-0.212,0.680,-0.200,-0.000,5940,0,12,-12,35,16.660,305,305,0,0,0
48070,0.176,-0.101,0.033,-0.114,0.044,-0.179,0.251,0.656,-0.210,0.680,-0.200,-0.001,6586,0,12,-10,35,16.660,305,305,0,0,0
48170,0.211,-0.124,0.057,0.037,0.230,-0.017,0.255,0.653,-0.206,0.682,-0.200,-0.001,5762,0,15,-19,35,16.660,305,305,0,0,0
48270,0.235,-0.162,0.132,-0.022,0.064,-0.073,0.258,0.648,-0.200,0.688,-0.200,-0.002,6296,0,12,-11,35,16.650,305,305,0,0,0
48370,0.254,-0.190,0.143,0.148,0.256,0.026,0.261,0.643,-0.197,0.692,-0.200,-0.002,5769,0,13,-24,35,16.650,305,305,0,0,0
48470,0.214,-0.215,0.131,0.184,0.041,0.220,0.252,0.640,-0.192,0.700,-0.200,-0.002,3810,0,8,-17,35,16.650,305,305,0,0,0
48570,0.153,-0.209,0.146,0.221,-0.094,0.150,0.240,0.641,-0.191,0.703,-0.200,-0.002,3906,0,6,-15,35,16.630,305,305,0,0,0
48670,0.088,-0.188,-0.042,0.066,-0.072,0.148,0.228,0.645,-0.193,0.703,-0.200,-0.001,3163,0,11,-13,35,16.630,305,305,0,0,0
48770,0.069,-0.180,-0.118,0.104,-0.042,0.048,0.224,0.646,-0.193,0.703,-0.200,-0.001,4065,0,9,-16,35,16.640,305,305,0,0,0
48870,0.056,-0.173,-0.133,0.092,-0.058,0.040,0.219,0.648,-0.191,0.704,-0.200,-0.001,4030,0,9,-14,35,16.640,305,305,0,0,0
48970,0.042,-0.128,-0.132,0.006,-0.399,0.058,0.214,0.656,-0.194,0.697,-0.200,-0.000,3703,0,2,-4,35,16.630,305,305,0,0,0
49070,0.022,-0.038,-0.227,-0.121,-0.437,0.001,0.210,0.670,-0.202,0.682,-0.200,-0.000,4067,0,5,-2,35,16.630,305,305,0,0,0
49170,0.022,0.035,-0.294,-0.270,-0.096,-0.029,0.213,0.681,-0.214,0.668,-0.200,0.000,4363,0,14,-7,35,16.630,305,305,0,0,0
49270,0.016,0.034,-0.220,-0.027,-0.037,0.047,0.217,0.679,-0.219,0.666,-0.200,0.000,3532,0,6,-11,35,16.630,305,305,0,0,0
49370,0.013,0.055,-0.163,-0.038,-0.097,-0.100,0.218,0.682,-0.222,0.662,-0.200,0.000,4897,0,6,-9,35,16.640,305,305,0,0,0
49470,0.023,0.061,-0.064,0.102,0.097,0.029,0.217,0.683,-0.220,0.661,-0.200,0.000,3806,0,8,-17,35,16.640,305,305,0,0,0
