Timestamp,r_ref,q_ref,curr_ax,curr_roll_rate,curr_pitch_rate,curr_yaw_rate,curr_qw,curr_qx,curr_qy,curr_qz,ax_ref,p_ref,omega_L_ref,omega_R_ref,servo_L_ref,servo_R_ref,Temperature,Voltage,RPM2,RPM4,Throttle2,Throttle4,ErrorCodes
63935,-0.086,0.277,-0.138,0.110,0.757,0.021,-0.466,0.543,0.524,0.462,-0.200,-0.002,0,2344,3,-10,0,0.000,0,0,0,0,0
64035,-0.099,0.145,-0.092,0.007,0.637,0.053,-0.483,0.529,0.506,0.480,-0.200,-0.001,0,3098,7,-9,0,0.000,0,0,0,0,0
64135,-0.114,0.140,-0.054,0.000,-0.157,0.016,-0.484,0.530,0.504,0.480,-0.200,-0.001,0,3070,-4,0,0,0.000,0,0,0,0,0
64235,-0.126,0.082,-0.036,-0.044,0.161,0.024,-0.491,0.525,0.495,0.488,-0.200,-0.001,0,3262,-1,0,0,0.000,0,0,0,0,0
64335,-0.115,0.192,-0.002,-0.002,-0.574,-0.037,-0.476,0.538,0.508,0.475,-0.200,-0.002,0,2299,-17,13,0,0.000,305,305,0,0,0
64435,-0.108,0.247,0.003,0.004,-0.344,-0.022,-0.467,0.545,0.514,0.469,-0.200,-0.002,0,2495,-13,9,0,0.000,305,305,0,0,0
64535,-0.104,0.308,-0.000,-0.031,-0.146,0.008,-0.458,0.553,0.521,0.462,-0.200,-0.002,0,2961,-7,4,0,0.000,305,305,0,0,0
64635,-0.102,0.305,-0.004,0.014,0.000,-0.010,-0.457,0.554,0.519,0.463,-0.200,-0.002,0,2761,-7,2,0,0.000,305,305,0,0,0
64735,-0.099,0.301,0.014,0.024,0.102,-0.003,-0.458,0.553,0.519,0.464,-0.200,-0.002,0,2874,-5,1,0,0.000,305,305,0,0,0
64835,-0.095,0.239,0.004,0.037,0.422,-0.007,-0.466,0.545,0.513,0.472,-0.200,-0.002,0,2823,2,-6,0,0.000,305,305,0,0,0
64935,-0.094,0.170,0.010,0.032,0.171,-0.016,-0.475,0.536,0.505,0.481,-0.200,-0.001,0,2745,-5,1,0,0.000,305,305,0,0,0
65035,-0.087,0.105,0.014,0.008,0.343,0.014,-0.485,0.526,0.497,0.492,-0.200,-0.001,0,3126,2,-6,0,0.000,305,305,0,0,0
65135,-0.086,0.022,-0.008,0.027,0.343,-0.003,-0.494,0.517,0.488,0.501,-0.200,-0.000,0,2938,2,-7,0,0.000,305,305,0,0,0
65235,-0.084,-0.063,-0.055,0.077,0.594,-0.009,-0.505,0.505,0.478,0.511,-0.200,0.000,0,2892,9,-16,0,0.000,305,305,0,0,0
65335,-0.079,-0.141,-0.032,-0.004,-0.241,-0.037,-0.514,0.495,0.469,0.521,-0.200,0.001,0,2447,-13,11,0,0.000,305,305,0,0,0
65435,-0.068,-0.014,-0.009,-0.032,-0.392,-0.022,-0.496,0.512,0.486,0.506,-0.200,-0.000,0,2556,-4,2,0,0.000,305,305,0,0,0
65535,-0.067,0.013,-0.063,-0.009,-0.141,0.004,-0.493,0.515,0.488,0.503,-0.200,-0.000,0,2967,-5,1,0,0.000,305,305,0,0,0
65635,-0.070,0.032,-0.048,-0.012,-0.229,0.000,-0.490,0.518,0.489,0.501,-0.200,-0.000,0,2992,-9,5,0,0.000,305,305,0,0,0
65735,-0.067,0.131,-0.032,-0.036,-0.536,-0.001,-0.477,0.531,0.501,0.490,-0.200,-0.001,0,2981,-15,13,0,0.000,305,305,0,0,0
65835,-0.063,0.218,-0.023,-0.029,-0.297,0.002,-0.466,0.542,0.511,0.478,-0.200,-0.001,0,3077,-9,6,0,0.000,305,305,0,0,0
65935,-0.066,0.249,-0.018,-0.016,-0.090,0.018,-0.461,0.547,0.513,0.475,-0.200,-0.001,0,3299,-7,4,0,0.000,305,305,0,0,0
66035,-0.076,0.212,-0.052,-0.012,0.388,0.047,-0.466,0.543,0.508,0.479,-0.200,-0.001,0,3794,3,-6,0,0.000,305,305,0,0,0
66135,-0.085,0.143,-0.059,0.004,0.251,0.004,-0.476,0.535,0.500,0.488,-0.200,-0.001,0,3488,-3,0,0,0.000,305,305,0,0,0
66235,-0.086,0.099,-0.042,0.044,0.431,0.003,-0.482,0.529,0.495,0.493,-0.200,-0.001,0,3535,4,-9,0,0.000,305,305,0,0,0
66335,-0.093,0.004,-0.069,0.008,0.314,0.000,-0.494,0.518,0.483,0.505,-0.200,-0.000,0,3628,0,-3,0,0.000,305,305,0,0,0
66435,-0.086,-0.072,-0.015,0.008,-0.033,-0.002,-0.503,0.507,0.474,0.515,-0.200,0.000,0,3583,-5,1,0,0.000,305,305,0,0,0
66535,-0.079,-0.096,-0.002,-0.020,-0.152,0.002,-0.505,0.504,0.471,0.519,-0.200,0.000,0,3597,-5,3,0,0.000,305,305,0,0,0
66635,-0.079,-0.069,-0.025,-0.026,-0.114,0.009,-0.501,0.508,0.474,0.516,-0.200,0.000,0,3722,-4,1,0,0.000,305,305,0,0,0
66735,-0.077,-0.058,-0.029,-0.012,-0.031,0.004,-0.499,0.509,0.475,0.515,-0.200,0.000,0,3694,-2,-1,0,0.000,305,305,0,0,0
66835,-0.075,-0.058,-0.017,-0.009,-0.126,0.000,-0.500,0.509,0.476,0.515,-0.200,0.000,0,3666,-5,2,34,15.500,305,305,0,0,0
66935,-0.075,-0.046,-0.037,0.003,0.039,-0.001,-0.498,0.510,0.478,0.513,-0.200,0.000,0,3693,-1,-3,34,15.500,305,305,0,0,0
67035,-0.075,-0.052,-0.026,-0.014,0.018,0.011,-0.499,0.510,0.477,0.514,-0.200,0.000,0,3857,-2,-1,34,15.500,305,305,0,0,0
67135,-0.069,-0.055,-0.014,0.021,-0.088,-0.012,-0.499,0.508,0.477,0.514,-0.200,0.000,0,3569,-6,1,34,15.500,305,305,0,0,0
67235,-0.056,-0.038,-0.007,0.017,-0.200,-0.030,-0.497,0.509,0.481,0.512,-0.200,0.000,0,3239,-7,4,34,15.500,305,305,0,0,0
