Timestamp,r_ref,q_ref,curr_ax,curr_roll_rate,curr_pitch_rate,curr_yaw_rate,curr_qw,curr_qx,curr_qy,curr_qz,ax_ref,p_ref,omega_L_ref,omega_R_ref,servo_L_ref,servo_R_ref,Temperature,Voltage,RPM2,RPM4,Throttle2,Throttle4,ErrorCodes
68745,-0.605,0.412,0.093,0.033,-0.508,-0.158,0.255,0.665,-0.510,0.482,-0.200,-0.024,6689,0,49,-53,0,0.000,0,0,0,0,0
68844,-0.554,0.367,0.208,-0.024,1.042,-0.087,0.271,0.657,-0.498,0.497,-0.200,-0.019,6886,0,-32,33,0,0.000,0,0,0,0,0
68944,-0.569,0.266,0.295,0.009,0.663,0.111,0.295,0.628,-0.484,0.532,-0.200,-0.012,8034,0,-7,7,0,0.000,0,0,0,0,0
69044,-0.557,0.242,0.346,0.013,0.351,-0.122,0.300,0.625,-0.478,0.539,-0.200,-0.010,6861,0,0,-2,0,0.000,0,0,0,0,0
69144,-0.489,0.175,0.274,0.060,0.840,-0.014,0.320,0.612,-0.461,0.557,-0.200,-0.006,7151,0,-35,31,0,0.000,305,305,0,0,0
69244,-0.494,0.162,0.217,0.026,-0.748,-0.023,0.322,0.609,-0.459,0.562,-0.200,-0.005,7198,0,61,-62,0,0.000,305,305,0,0,0
69344,-0.492,0.254,0.149,0.130,-0.632,-0.042,0.296,0.637,-0.469,0.535,-0.200,-0.011,7146,0,59,-60,0,0.000,305,305,0,0,0
69444,-0.484,0.271,0.176,-0.009,0.568,-0.049,0.289,0.646,-0.465,0.532,-0.200,-0.012,7124,0,-8,10,0,0.000,305,305,0,0,0
69544,-0.474,0.194,0.214,-0.013,0.381,0.068,0.308,0.625,-0.454,0.555,-0.200,-0.007,7763,0,-4,3,0,0.000,305,305,0,0,0
69644,-0.493,0.219,0.216,0.063,-0.340,0.008,0.300,0.631,-0.458,0.549,-0.200,-0.009,7616,0,40,-44,0,0.000,305,305,0,0,0
69744,-0.496,0.189,0.223,-0.013,0.323,0.048,0.308,0.622,-0.455,0.558,-0.200,-0.007,7902,0,0,0,0,0.000,305,305,0,0,0
69844,-0.499,0.199,0.224,-0.028,0.114,0.003,0.305,0.625,-0.456,0.555,-0.200,-0.007,7761,0,14,-14,0,0.000,305,305,0,0,0
69944,-0.528,0.163,0.205,0.034,0.451,0.117,0.311,0.614,-0.452,0.568,-0.200,-0.005,8528,0,-10,8,0,0.000,305,305,0,0,0
70044,-0.544,0.102,0.181,-0.043,0.763,0.014,0.324,0.594,-0.445,0.586,-0.200,-0.001,8187,0,-31,32,0,0.000,305,305,0,0,0
70144,-0.544,0.062,0.154,-0.009,0.064,0.009,0.334,0.582,-0.438,0.598,-0.200,0.002,8222,0,7,-8,0,0.000,305,305,0,0,0
70244,-0.537,0.120,0.078,-0.030,-0.938,-0.059,0.319,0.603,-0.448,0.578,-0.200,-0.003,7830,0,70,-69,0,0.000,305,305,0,0,0
70344,-0.509,0.177,0.064,0.012,-0.432,-0.026,0.311,0.617,-0.455,0.562,-0.200,-0.006,8001,0,44,-47,0,0.000,305,305,0,0,0
70444,-0.492,0.195,0.115,0.081,-0.026,0.026,0.306,0.624,-0.455,0.556,-0.200,-0.007,8232,0,20,-25,0,0.000,305,305,0,0,0
70544,-0.486,0.183,0.159,-0.003,0.051,-0.056,0.308,0.623,-0.451,0.560,-0.200,-0.006,7860,0,18,-17,0,0.000,305,305,0,0,0
70644,-0.458,0.163,0.158,0.028,0.343,-0.004,0.315,0.618,-0.446,0.565,-0.200,-0.005,8131,0,-8,5,0,0.000,305,305,0,0,0
70744,-0.466,0.126,0.164,0.004,0.050,0.012,0.323,0.607,-0.440,0.577,-0.200,-0.003,8214,0,13,-14,0,0.000,305,305,0,0,0
70844,-0.450,0.139,0.116,-0.014,0.163,-0.061,0.321,0.612,-0.441,0.573,-0.200,-0.004,7821,0,8,-8,0,0.000,305,305,0,0,0
70944,-0.457,0.111,0.091,0.008,0.053,0.047,0.327,0.603,-0.437,0.581,-0.200,-0.002,8439,0,12,-13,0,0.000,305,305,0,0,0
71044,-0.463,0.104,0.073,-0.014,0.147,-0.002,0.328,0.601,-0.437,0.584,-0.200,-0.002,8291,0,7,-7,0,0.000,305,305,0,0,0
71144,-0.468,0.116,0.084,0.016,-0.187,0.020,0.325,0.604,-0.439,0.580,-0.200,-0.002,8479,0,27,-28,0,0.000,305,305,0,0,0
71244,-0.476,0.127,0.092,-0.004,-0.001,0.013,0.321,0.608,-0.440,0.578,-0.200,-0.003,8545,0,18,-18,0,0.000,305,305,0,0,0
71344,-0.377,0.090,0.078,-0.007,0.301,0.002,0.336,0.602,-0.427,0.585,-0.200,-0.001,8068,0,-3,3,0,0.000,305,305,0,0,0
71444,-0.365,0.020,0.026,-0.038,1.100,-0.044,0.352,0.582,-0.414,0.605,-0.200,0.002,7814,0,-55,56,0,0.000,305,305,0,0,0
71544,-0.347,-0.038,0.010,0.016,0.163,-0.027,0.369,0.562,-0.405,0.619,-0.200,0.004,7851,0,-5,3,0,0.000,305,305,0,0,0
71644,-0.324,-0.054,-0.062,0.002,0.006,0.019,0.373,0.559,-0.400,0.623,-0.200,0.004,8010,0,4,-5,0,0.000,305,305,0,0,0
71744,-0.309,-0.066,-0.096,-0.002,-0.062,0.036,0.376,0.557,-0.396,0.626,-0.200,0.004,8059,0,8,-8,34,15.040,305,305,0,0,0
71844,-0.312,-0.033,-0.123,-0.030,-0.689,-0.026,0.370,0.567,-0.403,0.616,-0.200,0.003,7806,0,49,-47,34,15.040,305,305,0,0,0
71944,-0.298,0.065,-0.199,-0.054,-0.899,-0.078,0.351,0.597,-0.421,0.584,-0.200,-0.001,7461,0,64,-62,35,15.020,305,305,0,0,0
72044,-0.283,0.100,-0.128,0.008,-0.018,-0.008,0.345,0.607,-0.426,0.575,-0.200,-0.002,7819,0,16,-18,35,15.020,305,305,0,0,0
72144,-0.278,0.100,-0.040,0.011,-0.144,0.022,0.346,0.607,-0.426,0.575,-0.200,-0.002,7984,0,25,-26,35,15.010,305,305,0,0,0
72244,-0.252,0.101,-0.006,0.028,-0.450,-0.002,0.347,0.609,-0.424,0.573,-0.200,-0.002,7759,0,43,-45,35,15.010,305,305,0,0,0
72344,-0.232,0.145,-0.013,-0.012,-0.371,-0.040,0.339,0.623,-0.429,0.560,-0.200,-0.003,7481,0,39,-39,34,15.030,305,305,0,0,0
72444,-0.222,0.148,-0.008,0.004,0.087,-0.011,0.339,0.625,-0.429,0.558,-0.200,-0.003,7610,0,15,-16,34,15.030,305,305,0,0,0
72544,-0.221,0.103,-0.018,-0.037,0.797,-0.010,0.349,0.612,-0.421,0.572,-0.200,-0.002,7644,0,-30,31,34,15.030,305,305,0,0,0
72644,-0.219,0.033,-0.019,-0.012,0.603,0.031,0.365,0.590,-0.410,0.592,-0.200,0.000,7872,0,-24,23,34,15.030,305,305,0,0,0
72744,-0.242,-0.006,-0.021,0.047,0.538,0.057,0.371,0.577,-0.405,0.604,-0.200,0.001,8147,0,-27,26,35,15.030,305,305,0,0,0
72844,-0.257,-0.071,-0.037,0.030,0.573,0.022,0.382,0.557,-0.393,0.624,-0.200,0.004,8089,0,-30,28,35,15.030,305,305,0,0,0
72944,-0.247,-0.094,-0.054,-0.008,-0.063,-0.039,0.387,0.551,-0.387,0.630,-0.200,0.004,7759,0,7,-7,34,15.030,305,305,0,0,0
73044,-0.230,-0.048,-0.097,-0.023,-0.650,-0.069,0.379,0.566,-0.394,0.617,-0.200,0.002,7542,0,46,-45,34,15.030,305,305,0,0,0
73144,-0.205,0.012,-0.104,-0.014,-0.486,-0.056,0.370,0.585,-0.405,0.598,-0.200,0.001,7498,0,40,-40,34,15.020,305,305,0,0,0
73244,-0.194,0.052,-0.079,0.040,-0.409,-0.013,0.362,0.597,-0.411,0.585,-0.200,-0.000,7684,0,37,-40,34,15.020,305,305,0,0,0
73344,-0.181,0.117,-0.087,0.003,-0.462,-0.070,0.350,0.617,-0.422,0.565,-0.200,-0.002,7332,0,46,-47,34,15.020,305,305,0,0,0
