Timestamp,r_ref,q_ref,curr_ax,curr_roll_rate,curr_pitch_rate,curr_yaw_rate,curr_qw,curr_qx,curr_qy,curr_qz,ax_ref,p_ref,pitch_ref,yaw_ref,omega_L_ref,omega_R_ref,servo_L_ref,servo_R_ref,Temperature,Voltage,RPM2,RPM4,Throttle2,Throttle4,ErrorCodes
143110,-0.911,0.580,0.208,0.005,-0.010,0.000,0.425,0.436,-0.636,0.474,-0.200,-0.045,0.193,-0.228,9207,0,45,-47,0,0.000,0,0,0,0,0
143209,-0.941,0.685,0.276,0.001,-0.002,-0.000,0.405,0.451,-0.639,0.474,-0.200,-0.053,0.228,-0.235,9484,0,50,-52,0,0.000,0,0,0,0,0
143309,-0.923,0.635,0.384,-0.001,0.002,-0.002,0.411,0.449,-0.634,0.477,-0.200,-0.049,0.212,-0.231,9286,0,42,-44,0,0.000,0,0,0,0,0
143409,-0.885,0.634,0.348,-0.002,0.001,0.000,0.413,0.453,-0.631,0.476,-0.200,-0.046,0.211,-0.221,9187,0,44,-45,0,0.000,0,0,0,0,0
143509,-0.975,0.630,0.253,-0.000,0.006,0.004,0.411,0.440,-0.639,0.479,-0.200,-0.053,0.210,-0.244,10199,0,43,-44,0,0.000,305,305,0,0,0
143609,-1.053,0.512,0.359,0.002,0.004,-0.000,0.415,0.429,-0.631,0.496,-0.200,-0.054,0.171,-0.263,10494,0,33,-35,0,0.000,305,305,0,0,0
143709,-0.992,0.573,0.447,-0.001,-0.006,-0.003,0.411,0.442,-0.630,0.489,-0.200,-0.052,0.191,-0.248,9809,0,45,-47,0,0.000,305,305,0,0,0
143809,-0.955,0.600,0.421,0.001,-0.002,-0.000,0.410,0.448,-0.630,0.485,-0.200,-0.051,0.200,-0.239,9894,0,46,-48,0,0.000,305,305,0,0,0
143909,-0.878,0.579,0.437,0.003,-0.002,0.000,0.414,0.456,-0.621,0.484,-0.200,-0.044,0.193,-0.219,9242,0,42,-44,0,0.000,305,305,0,0,0
144009,-0.850,0.556,0.482,0.003,0.003,-0.002,0.414,0.462,-0.614,0.488,-0.200,-0.041,0.185,-0.212,9586,0,41,-42,0,0.000,305,305,0,0,0
144109,-0.848,0.508,0.418,0.002,0.002,0.000,0.417,0.461,-0.609,0.493,-0.200,-0.039,0.169,-0.212,9867,0,38,-40,0,0.000,305,305,0,0,0
144209,-0.816,0.475,0.264,0.001,-0.002,0.000,0.422,0.461,-0.604,0.494,-0.200,-0.036,0.158,-0.204,9730,0,39,-40,0,0.000,305,305,0,0,0
144309,-0.843,0.494,0.240,0.003,-0.001,0.001,0.415,0.465,-0.604,0.497,-0.200,-0.039,0.165,-0.211,10146,0,41,-43,0,0.000,305,305,0,0,0
144409,-0.856,0.506,0.253,0.003,-0.000,-0.001,0.409,0.469,-0.602,0.500,-0.200,-0.041,0.169,-0.214,10188,0,42,-44,0,0.000,305,305,0,0,0
144509,-0.849,0.457,0.333,0.001,0.002,-0.000,0.412,0.469,-0.595,0.506,-0.200,-0.039,0.152,-0.212,10182,0,37,-39,0,0.000,305,305,0,0,0
144609,-0.819,0.530,0.260,-0.001,-0.011,-0.002,0.407,0.477,-0.599,0.498,-0.200,-0.039,0.177,-0.205,9994,0,50,-51,0,0.000,305,305,0,0,0
144709,-0.790,0.474,0.259,-0.000,0.009,0.000,0.415,0.474,-0.594,0.500,-0.200,-0.035,0.158,-0.198,10044,0,37,-38,0,0.000,305,305,0,0,0
144809,-0.793,0.506,0.273,-0.002,-0.005,-0.000,0.414,0.474,-0.598,0.496,-0.200,-0.036,0.169,-0.198,10193,0,46,-48,0,0.000,305,305,0,0,0
144909,-0.799,0.468,0.291,-0.000,0.003,0.001,0.419,0.469,-0.597,0.498,-0.200,-0.035,0.156,-0.200,10366,0,40,-41,39,15.570,305,305,0,0,0
145009,-0.810,0.479,0.294,-0.000,0.002,0.001,0.418,0.468,-0.599,0.497,-0.200,-0.036,0.160,-0.203,10504,0,43,-44,39,15.570,305,305,0,0,0
145109,-0.759,0.427,0.252,0.001,0.000,-0.001,0.426,0.468,-0.592,0.499,-0.200,-0.031,0.142,-0.190,9953,0,38,-39,39,15.580,305,305,0,0,0
145209,-0.730,0.419,0.216,0.002,0.000,-0.001,0.426,0.473,-0.588,0.500,-0.200,-0.029,0.140,-0.182,10154,0,40,-41,39,15.580,305,305,0,0,0
145309,-0.632,0.398,0.216,0.003,-0.000,-0.002,0.432,0.481,-0.578,0.498,-0.200,-0.023,0.133,-0.158,9470,0,39,-40,39,15.580,305,305,0,0,0
145409,-0.477,0.344,0.199,0.003,0.001,-0.001,0.444,0.492,-0.561,0.496,-0.200,-0.014,0.115,-0.119,8501,0,34,-35,39,15.580,305,305,0,0,0
145509,-0.482,0.334,0.144,0.002,0.000,0.001,0.446,0.489,-0.562,0.496,-0.200,-0.014,0.111,-0.120,9388,0,36,-37,39,15.580,305,305,0,0,0
145609,-0.407,0.307,0.064,0.001,0.000,0.001,0.455,0.490,-0.557,0.492,-0.200,-0.010,0.102,-0.102,8932,0,35,-35,39,15.570,305,305,0,0,0
145709,-0.449,0.326,0.038,0.003,-0.002,0.001,0.452,0.487,-0.562,0.492,-0.200,-0.012,0.109,-0.112,9554,0,38,-39,39,15.570,305,305,0,0,0
145809,-0.460,0.343,0.107,0.002,-0.000,-0.000,0.450,0.488,-0.565,0.491,-0.200,-0.013,0.114,-0.115,9538,0,39,-40,39,15.570,305,305,0,0,0
145909,-0.445,0.347,0.157,0.001,0.001,-0.001,0.452,0.488,-0.565,0.489,-0.200,-0.012,0.116,-0.111,9408,0,39,-40,39,15.580,305,305,0,0,0
146009,-0.430,0.330,0.117,0.000,-0.001,-0.000,0.456,0.485,-0.565,0.487,-0.200,-0.011,0.110,-0.107,9402,0,38,-39,39,15.580,305,305,0,0,0
146109,-0.440,0.317,0.056,0.001,0.001,0.001,0.458,0.481,-0.567,0.487,-0.200,-0.012,0.106,-0.110,9624,0,37,-38,39,15.580,305,305,0,0,0
146209,-0.473,0.292,0.054,-0.000,-0.001,0.001,0.460,0.476,-0.567,0.490,-0.200,-0.012,0.097,-0.118,9873,0,36,-37,39,15.580,305,305,0,0,0
146309,-0.443,0.330,0.035,-0.001,-0.001,-0.002,0.461,0.478,-0.571,0.483,-0.200,-0.012,0.110,-0.111,9503,0,41,-41,39,15.580,305,305,0,0,0
146409,-0.376,0.327,0.044,-0.001,-0.000,-0.001,0.467,0.480,-0.569,0.477,-0.200,-0.009,0.109,-0.094,9008,0,39,-40,39,15.570,305,305,0,0,0
146509,-0.318,0.315,0.064,-0.001,-0.001,0.000,0.475,0.480,-0.568,0.471,-0.200,-0.007,0.105,-0.080,8974,0,39,-39,39,15.570,305,305,0,0,0
146609,-0.294,0.302,0.074,-0.000,0.000,0.000,0.480,0.477,-0.568,0.468,-0.200,-0.006,0.101,-0.073,8990,0,38,-38,39,15.570,305,305,0,0,0
