Timestamp,r_ref,q_ref,curr_ax,curr_roll_rate,curr_pitch_rate,curr_yaw_rate,curr_qw,curr_qx,curr_qy,curr_qz,ax_ref,p_ref,pitch_ref,yaw_ref,omega_L_ref,omega_R_ref,servo_L_ref,servo_R_ref,Temperature,Voltage,RPM2,RPM4,Throttle2,Throttle4,ErrorCodes
63080,-1.790,0.533,-0.538,-0.003,-0.004,-0.032,0.282,0.457,-0.622,0.569,-0.200,0.049,0.178,-0.448,12409,0,51,-52,0,0.000,0,0,0,0,0
63180,-1.225,0.539,-0.425,-0.005,0.006,-0.025,0.336,0.496,-0.588,0.544,-0.200,0.014,0.180,-0.306,10533,0,43,-44,0,0.000,0,0,0,0,0
63280,-0.813,0.460,-0.232,-0.002,0.007,-0.013,0.381,0.511,-0.562,0.527,-0.200,0.003,0.153,-0.203,9722,0,35,-36,0,0.000,0,0,0,0,0
63380,-0.662,0.359,-0.048,0.003,0.010,-0.004,0.398,0.515,-0.543,0.530,-0.200,0.002,0.120,-0.166,10318,0,27,-28,0,0.000,305,305,0,0,0
63480,-0.571,0.090,-0.048,-0.000,0.018,-0.005,0.427,0.498,-0.517,0.550,-0.200,0.007,0.030,-0.143,10213,0,4,-4,0,0.000,305,305,0,0,0
63580,-0.452,-0.203,-0.083,-0.001,0.016,-0.006,0.463,0.476,-0.490,0.565,-0.200,0.010,-0.068,-0.113,9676,0,-15,14,0,0.000,305,305,0,0,0
63680,-0.314,-0.231,-0.111,-0.002,-0.008,-0.007,0.477,0.480,-0.481,0.557,-0.200,0.006,-0.077,-0.078,8975,0,-1,1,0,0.000,305,305,0,0,0
63780,-0.168,-0.175,-0.183,-0.001,0.005,-0.006,0.487,0.490,-0.480,0.541,-0.200,0.002,-0.058,-0.042,8305,0,1,-2,0,0.000,305,305,0,0,0
63880,-0.081,-0.292,-0.094,0.002,0.004,-0.003,0.501,0.486,-0.464,0.546,-0.200,0.001,-0.097,-0.020,8222,0,-11,10,0,0.000,305,305,0,0,0
63980,-0.023,-0.367,-0.048,0.001,0.007,-0.002,0.508,0.484,-0.453,0.550,-0.200,0.000,-0.122,-0.006,8101,0,-16,16,0,0.000,305,305,0,0,0
64080,0.024,-0.482,-0.019,0.000,0.008,-0.003,0.521,0.476,-0.440,0.556,-0.200,-0.000,-0.161,0.006,7925,0,-24,23,0,0.000,305,305,0,0,0
64180,0.079,-0.612,0.000,-0.001,0.003,-0.002,0.535,0.466,-0.426,0.562,-0.200,-0.002,-0.204,0.020,7631,0,-32,31,0,0.000,305,305,0,0,0
64280,0.080,-0.587,0.057,-0.001,-0.007,0.002,0.535,0.467,-0.430,0.557,-0.200,-0.002,-0.196,0.020,8012,0,-23,23,0,0.000,305,305,0,0,0
64380,0.055,-0.371,0.003,0.000,-0.015,0.001,0.518,0.485,-0.451,0.542,-0.200,-0.001,-0.124,0.014,8186,0,-2,1,0,0.000,305,305,0,0,0
64480,0.042,-0.189,-0.023,-0.000,-0.007,0.000,0.503,0.500,-0.467,0.527,-0.200,-0.000,-0.063,0.011,8206,0,6,-7,0,0.000,305,305,0,0,0
64580,0.036,-0.076,0.009,-0.000,-0.007,0.000,0.495,0.509,-0.478,0.518,-0.200,-0.000,-0.025,0.009,8189,0,11,-12,0,0.000,305,305,0,0,0
64680,0.035,-0.005,0.010,0.001,-0.003,0.000,0.490,0.514,-0.484,0.511,-0.200,0.000,-0.002,0.009,8178,0,12,-13,0,0.000,305,305,0,0,0
64780,0.020,0.025,0.013,0.000,-0.000,0.001,0.487,0.515,-0.488,0.509,-0.200,0.000,0.008,0.005,8324,0,12,-13,34,13.960,305,305,0,0,0
64880,0.009,0.010,0.020,-0.000,0.002,0.000,0.488,0.513,-0.489,0.510,-0.200,0.000,0.003,0.002,8325,0,9,-9,34,13.960,305,305,0,0,0
64981,0.012,0.012,0.034,-0.000,-0.000,-0.000,0.489,0.513,-0.489,0.509,-0.200,0.000,0.004,0.003,8244,0,10,-10,34,13.960,305,305,0,0,0
65080,0.030,-0.098,0.052,-0.001,0.011,-0.001,0.500,0.503,-0.480,0.516,-0.200,-0.000,-0.033,0.008,8059,0,-4,3,34,13.960,305,305,0,0,0
65180,0.042,-0.202,0.042,-0.000,0.000,0.000,0.510,0.494,-0.471,0.523,-0.200,-0.000,-0.067,0.011,8053,0,-7,6,34,13.960,305,305,0,0,0
65280,0.033,-0.127,-0.029,0.000,-0.006,0.001,0.503,0.500,-0.478,0.518,-0.200,-0.000,-0.042,0.008,8202,0,4,-5,34,13.960,305,305,0,0,0
65380,0.017,-0.040,-0.008,-0.000,-0.002,0.001,0.495,0.507,-0.487,0.511,-0.200,-0.000,-0.013,0.004,8319,0,9,-10,34,13.960,305,305,0,0,0
65480,0.013,-0.099,0.043,0.000,0.003,0.000,0.500,0.501,-0.482,0.517,-0.200,-0.000,-0.033,0.003,8264,0,0,-1,34,13.960,305,305,0,0,0
65580,0.013,-0.051,0.011,-0.000,-0.005,-0.000,0.496,0.506,-0.486,0.513,-0.200,-0.000,-0.017,0.003,8235,0,8,-9,34,13.960,305,305,0,0,0
65680,0.015,-0.020,0.020,0.000,-0.003,0.000,0.493,0.508,-0.488,0.510,-0.200,-0.000,-0.007,0.004,8221,0,9,-10,34,13.960,305,305,0,0,0
65780,0.014,0.044,0.028,-0.000,-0.004,-0.000,0.489,0.513,-0.494,0.504,-0.200,0.000,0.015,0.003,8224,0,14,-15,34,13.960,305,305,0,0,0
65880,0.021,0.094,0.017,0.000,-0.003,-0.000,0.486,0.517,-0.498,0.499,-0.200,0.000,0.031,0.005,8164,0,16,-17,34,13.960,305,305,0,0,0
65980,0.020,0.138,0.007,-0.000,-0.002,-0.000,0.482,0.521,-0.502,0.495,-0.200,0.000,0.046,0.005,8196,0,19,-20,34,13.960,305,305,0,0,0
66080,0.022,0.198,0.012,-0.000,-0.004,-0.000,0.477,0.526,-0.507,0.489,-0.200,0.000,0.066,0.006,8178,0,24,-25,34,13.960,305,305,0,0,0
66180,0.021,0.254,0.023,0.000,-0.004,-0.000,0.472,0.530,-0.511,0.484,-0.200,0.000,0.085,0.005,8194,0,27,-28,34,13.960,305,305,0,0,0
66280,0.020,0.304,0.033,0.000,-0.002,0.000,0.468,0.534,-0.515,0.480,-0.200,0.000,0.101,0.005,8199,0,30,-31,34,13.960,305,305,0,0,0
66380,0.019,0.310,0.055,-0.000,-0.000,-0.000,0.468,0.534,-0.516,0.479,-0.200,0.000,0.103,0.005,8197,0,28,-29,34,13.960,305,305,0,0,0
66480,0.018,0.311,0.044,0.000,0.001,-0.000,0.467,0.534,-0.516,0.479,-0.200,0.000,0.104,0.005,8198,0,28,-29,34,13.960,305,305,0,0,0
66580,0.019,0.301,0.051,-0.000,0.001,-0.000,0.468,0.533,-0.515,0.480,-0.200,0.000,0.100,0.005,8182,0,27,-28,34,13.960,305,305,0,0,0
66680,0.019,0.270,0.060,0.000,0.001,0.000,0.471,0.531,-0.513,0.483,-0.200,0.000,0.090,0.005,8181,0,25,-26,34,13.960,305,305,0,0,0
66780,0.015,0.249,0.048,0.000,0.002,0.000,0.473,0.529,-0.512,0.485,-0.200,0.000,0.083,0.004,8228,0,24,-25,34,13.960,305,305,0,0,0
66880,0.013,0.224,0.050,-0.000,0.001,0.000,0.475,0.527,-0.510,0.487,-0.200,0.000,0.075,0.003,8221,0,23,-24,34,13.960,305,305,0,0,0
66980,0.010,0.201,0.045,0.000,0.001,0.000,0.476,0.525,-0.508,0.490,-0.200,0.000,0.067,0.002,8244,0,22,-23,34,13.960,305,305,0,0,0
67080,0.009,0.185,0.035,-0.000,0.001,-0.000,0.478,0.523,-0.507,0.491,-0.200,0.000,0.062,0.002,8232,0,21,-22,34,13.970,305,305,0,0,0
67180,0.009,0.178,0.043,0.000,0.004,0.000,0.478,0.523,-0.506,0.492,-0.200,0.000,0.059,0.002,8231,0,21,-22,34,13.970,305,305,0,0,0
67280,0.009,0.114,0.053,0.000,0.002,-0.000,0.483,0.518,-0.501,0.498,-0.200,0.000,0.038,0.002,8227,0,16,-17,34,13.960,305,305,0,0,0
67380,0.015,0.094,0.016,-0.000,-0.005,-0.000,0.486,0.516,-0.499,0.498,-0.200,0.000,0.031,0.004,8156,0,17,-18,34,13.960,305,305,0,0,0
67480,0.016,0.164,0.015,-0.000,-0.000,-0.000,0.480,0.522,-0.505,0.492,-0.200,0.000,0.055,0.004,8177,0,23,-24,34,13.960,305,305,0,0,0
67580,0.017,0.189,0.044,-0.000,-0.005,0.000,0.479,0.523,-0.507,0.490,-0.200,0.000,0.063,0.004,8184,0,26,-26,34,13.960,305,305,0,0,0
67680,0.013,0.253,0.015,-0.001,-0.003,-0.001,0.473,0.528,-0.513,0.484,-0.200,0.000,0.084,0.003,8192,0,30,-31,34,13.960,305,305,0,0,0
67780,0.015,0.274,0.044,0.000,0.004,0.000,0.472,0.530,-0.515,0.482,-0.200,0.000,0.091,0.004,8187,0,29,-30,34,13.960,305,305,0,0,0
67880,0.020,0.161,0.054,0.000,0.005,-0.000,0.482,0.521,-0.506,0.491,-0.200,0.000,0.054,0.005,8139,0,17,-17,34,13.960,305,305,0,0,0
67980,0.022,0.111,0.004,0.000,0.000,-0.000,0.486,0.517,-0.502,0.495,-0.200,0.000,0.037,0.005,8136,0,17,-18,34,13.960,305,305,0,0,0
68080,0.016,0.171,-0.016,0.000,-0.006,0.000,0.481,0.521,-0.507,0.490,-0.200,0.000,0.057,0.004,8216,0,26,-27,34,13.960,305,305,0,0,0
68180,0.013,0.214,0.037,0.000,0.003,0.000,0.477,0.524,-0.511,0.487,-0.200,0.000,0.071,0.003,8201,0,27,-27,34,13.960,305,305,0,0,0
68280,0.013,0.142,0.043,0.000,0.004,-0.000,0.483,0.519,-0.505,0.494,-0.200,0.000,0.043,0.003,8185,0,18,-18,34,13.960,305,305,0,0,0
68380,0.013,0.148,-0.014,-0.000,-0.004,0.000,0.482,0.519,-0.505,0.493,-0.200,0.000,0.049,0.003,8190,0,23,-24,34,13.970,305,305,0,0,0
68480,0.011,0.156,0.037,0.000,0.004,-0.000,0.482,0.519,-0.506,0.492,-0.200,0.000,0.052,0.003,8200,0,22,-23,34,13.970,305,305,0,0,0
68580,0.014,0.124,0.018,-0.001,-0.002,-0.000,0.485,0.517,-0.503,0.494,-0.200,0.000,0.041,0.003,8156,0,21,-22,34,13.970,305,305,0,0,0
68680,0.011,0.167,0.002,0.000,0.003,0.000,0.481,0.520,-0.507,0.491,-0.200,0.000,0.056,0.003,8214,0,24,-25,34,13.970,305,305,0,0,0
68780,0.011,0.137,0.036,0.000,-0.002,-0.000,0.483,0.518,-0.504,0.494,-0.200,0.000,0.046,0.003,8177,0,22,-23,34,13.970,305,305,0,0,0
68880,0.012,0.164,0.019,-0.000,0.001,-0.000,0.481,0.520,-0.507,0.491,-0.200,0.000,0.055,0.003,8180,0,25,-25,34,13.970,305,305,0,0,0
68980,0.013,0.161,0.021,0.000,-0.002,0.000,0.481,0.520,-0.506,0.491,-0.200,0.000,0.054,0.003,8188,0,25,-25,35,13.970,305,305,0,0,0
69080,0.010,0.197,0.010,-0.000,-0.002,-0.000,0.478,0.523,-0.509,0.488,-0.200,0.000,0.066,0.003,8175,0,28,-29,35,13.970,305,305,0,0,0
69180,0.012,0.200,0.046,0.000,0.003,0.000,0.478,0.523,-0.510,0.488,-0.200,0.000,0.067,0.003,8187,0,26,-27,35,13.970,305,305,0,0,0
69280,0.011,0.146,0.038,-0.000,0.003,-0.000,0.483,0.519,-0.505,0.493,-0.200,0.000,0.049,0.003,8182,0,21,-22,35,13.980,305,305,0,0,0
69380,0.011,0.109,0.026,0.000,0.000,0.000,0.486,0.516,-0.502,0.496,-0.200,0.000,0.036,0.003,8183,0,20,-21,35,13.980,305,305,0,0,0
69480,0.008,0.093,0.030,0.000,0.002,0.000,0.487,0.514,-0.501,0.498,-0.200,0.000,0.031,0.002,8211,0,19,-20,34,13.980,305,305,0,0,0
69580,0.008,0.058,0.030,0.000,0.002,0.000,0.490,0.511,-0.498,0.501,-0.200,0.000,0.019,0.002,8202,0,17,-18,34,13.980,305,305,0,0,0
69680,0.006,0.022,0.023,0.000,0.003,0.000,0.492,0.508,-0.495,0.504,-0.200,0.000,0.007,0.002,8205,0,15,-15,34,13.980,305,305,0,0,0
69780,0.001,-0.038,0.030,-0.000,0.004,-0.000,0.497,0.503,-0.490,0.510,-0.200,-0.000,-0.013,0.000,8240,0,10,-11,34,13.980,305,305,0,0,0
69880,0.001,-0.071,-0.011,-0.000,-0.002,-0.000,0.500,0.500,-0.488,0.512,-0.200,-0.000,-0.024,0.000,8228,0,10,-11,34,13.970,305,305,0,0,0
69980,0.003,0.012,-0.027,-0.000,-0.005,-0.000,0.493,0.507,-0.495,0.505,-0.200,0.000,0.004,0.001,8207,0,20,-21,34,13.970,305,305,0,0,0
70080,0.009,0.066,0.026,-0.000,-0.001,-0.000,0.490,0.512,-0.499,0.499,-0.200,0.000,0.022,0.002,8155,0,21,-22,34,13.970,305,305,0,0,0
70180,0.010,0.089,0.014,-0.000,-0.004,-0.000,0.488,0.514,-0.501,0.497,-0.200,0.000,0.030,0.003,8159,0,23,-23,34,13.970,305,305,0,0,0
70280,0.020,0.177,-0.004,-0.000,-0.004,-0.000,0.482,0.521,-0.508,0.488,-0.200,0.000,0.059,0.005,8082,0,30,-31,34,13.970,305,305,0,0,0
70381,0.017,0.188,0.036,0.000,0.000,-0.000,0.480,0.522,-0.509,0.488,-0.200,0.000,0.063,0.004,8152,0,27,-28,34,13.970,305,305,0,0,0
70480,0.015,0.209,0.015,-0.001,-0.003,-0.000,0.478,0.523,-0.511,0.486,-0.200,0.000,0.070,0.004,8164,0,30,-30,34,13.970,305,305,0,0,0
70580,0.019,0.261,-0.002,-0.000,-0.004,0.000,0.475,0.527,-0.516,0.481,-0.200,0.000,0.087,0.005,8110,0,35,-35,34,13.970,305,305,0,0,0
70681,0.013,0.351,-0.008,0.000,-0.008,0.000,0.466,0.534,-0.523,0.473,-0.200,0.000,0.117,0.003,8197,0,43,-43,34,13.970,305,305,0,0,0
70780,0.014,0.444,0.037,-0.001,-0.000,-0.000,0.459,0.541,-0.531,0.464,-0.200,0.000,0.148,0.003,8148,0,47,-48,34,13.970,305,305,0,0,0
70881,0.022,0.345,0.086,-0.000,0.008,-0.000,0.469,0.533,-0.523,0.472,-0.200,0.000,0.115,0.005,8063,0,33,-34,34,13.970,305,305,0,0,0
