Timestamp,r_ref,q_ref,curr_ax,curr_ay,curr_az,curr_mx,curr_my,curr_mz,curr_roll_rate,curr_pitch_rate,curr_yaw_rate,curr_qw,curr_qx,curr_qy,curr_qz,thrust_ref,p_ref,omega_L_ref,omega_R_ref,servo_L_ref,servo_R_ref,Temperature,Voltage,Current,RPM2,RPM4,Throttle2,Throttle4,ErrorCodes
95916,-0.091,-0.517,9.790,-0.310,-0.270,-47.375,2.688,-20.688,-0.053,-0.580,0.066,0.572,0.417,-0.490,0.509,0.000,-0.015,0,3676,-4,4,0,0.000,0.000,0,0,0,0,0
96015,-0.117,-0.464,9.680,-0.260,-0.030,-49.250,3.750,-18.688,-0.031,-0.068,0.073,0.569,0.416,-0.500,0.503,0.000,-0.013,0,4050,11,-14,0,0.000,0.000,0,0,0,0,0
96115,-0.171,-0.394,9.490,-0.260,-0.140,-48.500,3.750,-17.500,0.072,-0.194,0.226,0.561,0.418,-0.509,0.501,0.000,-0.010,0,5350,2,-10,0,0.000,0.000,0,0,0,0,0
96215,-0.242,-0.378,9.650,-1.040,-0.920,-47.750,4.875,-17.062,0.186,0.132,0.173,0.554,0.416,-0.513,0.507,0.000,-0.011,0,5228,10,-25,0,0.000,0.000,305,305,0,0,0
96315,-0.258,-0.511,9.630,-0.980,-0.310,-48.500,5.250,-19.062,0.281,0.686,0.012,0.558,0.409,-0.497,0.524,0.000,-0.020,0,4277,30,-42,0,0.000,0.000,305,305,0,0,0
96415,-0.230,-0.598,9.880,-1.130,3.280,-45.875,4.875,-21.750,-0.014,-0.348,-0.104,0.567,0.404,-0.486,0.528,0.000,-0.024,0,3721,1,-1,0,0.000,0.000,305,305,0,0,0
96515,-0.176,-0.468,10.050,-0.160,-3.270,-45.875,4.500,-19.500,-0.118,0.140,-0.076,0.562,0.416,-0.499,0.512,0.000,-0.014,0,4068,27,-23,0,0.000,0.000,305,305,0,0,0
96615,-0.158,-0.542,9.730,-1.250,4.310,-47.375,6.000,-20.562,0.073,-0.482,-0.128,0.573,0.407,-0.493,0.512,0.000,-0.018,0,3208,-9,-3,0,0.000,0.000,305,305,0,0,0
96715,-0.078,-0.319,9.990,0.540,-5.270,-48.875,4.500,-18.688,-0.058,-0.117,0.013,0.557,0.433,-0.509,0.492,0.000,-0.006,0,4631,20,-15,0,0.000,0.000,305,305,0,0,0
96815,-0.083,-0.511,10.780,-0.860,3.740,-48.875,4.188,-18.688,0.277,0.447,-0.147,0.575,0.415,-0.493,0.504,0.000,-0.014,0,2161,14,-40,0,0.000,0.000,305,305,0,0,0
96915,0.004,-0.459,10.400,-0.450,2.440,-47.000,3.000,-21.375,0.438,-0.628,-0.169,0.566,0.435,-0.484,0.506,0.000,-0.010,0,1168,-17,-6,0,0.000,0.000,305,305,0,0,0
97015,0.184,-0.243,9.840,-1.590,0.500,-49.250,0.750,-19.062,0.491,-0.849,-0.871,0.551,0.471,-0.487,0.486,0.000,-0.001,7507,0,-26,-4,0,0.000,0.000,305,305,0,0,0
97115,0.553,-0.015,8.630,2.160,-1.840,-49.250,-3.688,-14.688,0.606,-0.321,-0.693,0.542,0.525,-0.471,0.457,0.000,0.000,6782,0,-11,-20,0,0.000,0.000,305,305,0,0,0
97215,0.657,0.016,8.690,2.560,-4.040,-48.750,-7.750,-15.000,0.650,0.463,0.008,0.530,0.549,-0.449,0.465,0.000,-0.000,3447,0,9,-39,0,0.000,0.000,305,305,0,0,0
97315,0.586,-0.208,8.830,1.350,0.940,-49.500,-8.062,-17.375,0.524,0.687,0.222,0.526,0.539,-0.414,0.511,0.000,0.008,3006,0,15,-37,0,0.000,0.000,305,305,0,0,0
97415,0.534,-0.270,9.910,0.710,0.380,-45.750,-8.375,-21.250,0.640,0.056,0.143,0.513,0.543,-0.400,0.531,0.000,0.009,4026,0,-7,-26,0,0.000,0.000,305,305,0,0,0
97515,0.517,-0.237,10.000,0.490,-2.650,-48.750,-8.562,-20.500,0.580,0.204,0.064,0.495,0.556,-0.388,0.543,0.000,0.008,4585,0,4,-34,29,16.600,81.370,305,305,0,0,0
97615,0.532,-0.370,9.640,0.540,1.490,-47.250,-8.562,-22.000,0.343,0.298,-0.038,0.491,0.553,-0.362,0.568,0.000,0.014,5401,0,12,-28,29,16.600,81.370,305,305,0,0,0
97715,0.550,-0.372,9.710,0.630,-0.240,-46.562,-10.000,-24.375,0.160,0.002,0.062,0.488,0.557,-0.357,0.569,0.000,0.014,4777,0,11,-18,29,16.600,81.370,305,305,0,0,0
97815,0.497,-0.362,9.530,0.200,-0.790,-45.875,-10.188,-23.500,0.066,0.141,0.170,0.482,0.556,-0.361,0.573,0.000,0.013,4126,0,17,-23,29,16.620,81.370,305,305,0,0,0
97915,0.402,-0.362,9.660,-0.090,-0.150,-46.562,-8.562,-23.500,-0.001,0.134,0.112,0.478,0.550,-0.369,0.578,0.000,0.012,4335,0,16,-23,29,16.620,81.370,305,305,0,0,0
98015,0.327,-0.375,9.810,-0.110,0.700,-47.000,-7.875,-25.062,0.014,0.129,0.072,0.476,0.544,-0.376,0.580,0.000,0.011,4334,0,15,-23,29,16.620,81.370,305,305,0,0,0
98115,0.256,-0.362,9.970,0.090,0.600,-46.562,-8.562,-26.250,0.028,0.020,0.052,0.469,0.542,-0.381,0.584,0.000,0.009,4008,0,12,-20,29,16.610,81.370,305,305,0,0,0
98215,0.185,-0.326,9.860,0.040,0.490,-46.688,-7.500,-25.875,-0.026,-0.098,0.058,0.462,0.542,-0.389,0.584,0.000,0.007,3627,0,10,-15,29,16.610,81.370,305,305,0,0,0
98315,0.163,-0.305,9.670,0.000,0.640,-45.562,-7.062,-25.062,-0.013,-0.071,0.003,0.460,0.542,-0.394,0.582,0.000,0.006,4249,0,11,-18,29,16.610,81.370,305,305,0,0,0
98415,0.163,-0.287,9.700,0.190,0.210,-46.688,-6.375,-25.062,0.000,0.013,0.023,0.460,0.543,-0.396,0.580,0.000,0.005,4035,0,13,-21,30,16.620,81.410,305,305,0,0,0
98515,0.146,-0.264,9.790,0.050,0.120,-47.500,-7.875,-24.688,0.008,0.036,0.000,0.457,0.545,-0.399,0.579,0.000,0.005,4218,0,13,-21,30,16.620,81.410,305,305,0,0,0
98615,0.138,-0.250,9.790,0.100,0.450,-46.688,-8.250,-25.375,0.060,0.022,-0.041,0.454,0.547,-0.399,0.579,0.000,0.004,4479,0,10,-21,30,16.620,81.410,305,305,0,0,0
98715,0.149,-0.240,9.790,0.150,0.450,-48.188,-8.250,-25.375,0.044,0.027,-0.058,0.453,0.549,-0.398,0.579,0.000,0.004,4677,0,11,-21,29,16.600,81.370,305,305,0,0,0
98815,0.165,-0.233,9.720,0.240,0.410,-47.062,-7.500,-25.062,0.037,0.020,-0.037,0.452,0.552,-0.396,0.578,0.000,0.004,4644,0,12,-20,29,16.600,81.370,305,305,0,0,0
98915,0.160,-0.222,9.830,0.090,0.400,-47.062,-8.562,-26.250,0.016,-0.006,0.004,0.451,0.553,-0.396,0.578,0.000,0.004,4462,0,11,-19,29,16.600,81.370,305,305,0,0,0
99015,0.147,-0.212,9.850,0.180,0.620,-46.375,-8.562,-25.062,0.002,-0.004,0.007,0.448,0.554,-0.398,0.578,0.000,0.003,4482,0,12,-19,30,16.620,81.370,305,305,0,0,0
99115,0.140,-0.193,9.830,0.100,0.440,-47.062,-7.500,-25.375,0.001,-0.094,0.001,0.447,0.555,-0.400,0.577,0.000,0.003,4523,0,9,-16,30,16.620,81.370,305,305,0,0,0
99215,0.130,-0.157,9.790,0.120,-0.030,-47.500,-7.875,-25.062,-0.013,-0.096,0.011,0.444,0.558,-0.404,0.573,0.000,0.002,4419,0,9,-16,30,16.620,81.370,305,305,0,0,0
99315,0.125,-0.136,9.800,0.180,-0.360,-48.188,-8.250,-25.062,0.001,0.084,0.006,0.442,0.560,-0.405,0.572,0.000,0.002,4443,0,14,-22,30,16.620,81.370,305,305,0,0,0
99415,0.122,-0.134,9.680,0.000,0.880,-48.188,-9.000,-24.250,-0.012,-0.400,-0.030,0.442,0.560,-0.405,0.572,0.000,0.001,4730,0,-3,-4,30,16.620,81.370,305,305,0,0,0
99515,0.121,-0.137,9.560,0.000,0.670,-49.375,-9.000,-23.875,-0.082,0.877,0.070,0.444,0.556,-0.404,0.574,0.000,0.002,3859,0,42,-45,30,16.620,81.370,305,305,0,0,0
99615,0.127,-0.150,9.950,0.280,-2.210,-46.688,-8.250,-25.375,0.076,-0.953,-0.111,0.444,0.558,-0.405,0.573,0.000,0.002,5283,0,-23,11,30,16.610,81.370,305,305,0,0,0
