Timestamp,r_ref,q_ref,curr_ax,curr_roll_rate,curr_pitch_rate,curr_yaw_rate,curr_qw,curr_qx,curr_qy,curr_qz,thrust_ref,p_ref,omega_L_ref,omega_R_ref,servo_L_ref,servo_R_ref,Temperature,Voltage,Current,RPM2,RPM4,Throttle2,Throttle4,ErrorCodes
86404,0.359,0.093,-0.057,0.063,-0.588,-0.072,0.480,-0.473,-0.540,-0.504,0.000,0.005,3389,0,-27,18,0,0.000,0.000,0,0,0,0,0
86503,0.413,0.212,-0.050,-0.010,-0.057,-0.191,0.466,-0.479,-0.553,-0.497,0.000,0.009,5177,0,-5,3,0,0.000,0.000,0,0,0,0,0
86603,0.434,0.256,-0.070,0.029,-0.480,0.126,0.460,-0.482,-0.557,-0.496,0.000,0.010,2453,0,-27,22,0,0.000,0.000,0,0,0,0,0
86703,0.329,0.395,-0.083,-0.040,-0.388,0.419,0.453,-0.501,-0.561,-0.479,0.000,0.009,0,3456,-20,20,0,0.000,0.000,305,0,0,0,0
86803,0.172,0.354,-0.099,0.230,0.437,0.260,0.470,-0.505,-0.551,-0.470,0.000,0.003,0,1121,-4,-11,0,0.000,0.000,305,0,0,0,0
86903,0.169,0.290,-0.158,0.219,-0.026,-0.127,0.481,-0.495,-0.551,-0.470,0.000,0.003,4477,0,-20,8,0,0.000,0.000,305,305,0,0,0
87003,0.282,0.325,-0.187,0.004,0.141,-0.397,0.474,-0.486,-0.564,-0.471,0.000,0.006,6480,0,4,2,0,0.000,0.000,305,305,0,0,0
87103,0.392,0.172,-0.122,0.090,0.372,-0.111,0.481,-0.466,-0.558,-0.490,0.000,0.007,4752,0,-5,-4,0,0.000,0.000,305,305,0,0,0
87203,0.346,0.174,-0.072,-0.141,-0.303,0.193,0.482,-0.472,-0.554,-0.489,0.000,0.006,2739,0,-17,22,0,0.000,0.000,305,305,0,0,0
87303,0.255,0.270,-0.006,-0.001,-0.244,0.233,0.477,-0.487,-0.555,-0.477,0.000,0.005,2275,0,-18,13,0,0.000,0.000,305,305,0,0,0
87403,0.198,0.265,0.014,-0.008,0.140,0.113,0.480,-0.492,-0.550,-0.475,0.000,0.003,3430,0,-7,4,0,0.000,0.000,305,305,0,0,0
87503,0.185,0.237,-0.029,0.021,-0.002,-0.020,0.484,-0.490,-0.547,-0.475,0.000,0.003,4274,0,-13,9,0,0.000,0.000,305,305,0,0,0
87603,0.210,0.298,0.019,0.107,-0.279,-0.107,0.478,-0.492,-0.555,-0.471,0.000,0.004,4900,0,-24,15,0,0.000,0.000,305,305,0,0,0
87703,0.249,0.366,0.054,0.197,-0.139,-0.086,0.474,-0.488,-0.568,-0.463,0.000,0.006,4788,0,-21,10,0,0.000,0.000,305,305,0,0,0
87803,0.257,0.409,-0.015,-0.016,-0.117,-0.057,0.472,-0.489,-0.574,-0.458,0.000,0.006,4954,0,-14,18,0,0.000,0.000,305,305,0,0,0
87903,0.270,0.421,-0.075,-0.204,0.083,0.016,0.467,-0.492,-0.573,-0.460,0.000,0.007,4483,0,-6,16,0,0.000,0.000,305,305,0,0,0
88003,0.227,0.364,-0.100,-0.240,0.228,0.188,0.470,-0.497,-0.560,-0.468,0.000,0.005,3197,0,-3,12,0,0.000,0.000,305,305,0,0,0
88103,0.192,0.286,-0.040,-0.229,0.258,0.018,0.474,-0.500,-0.546,-0.478,0.000,0.004,4683,0,-3,10,31,16.640,81.370,305,305,0,0,0
88203,0.192,0.253,0.006,-0.159,0.066,0.036,0.472,-0.502,-0.539,-0.485,0.000,0.003,4403,0,-10,12,31,16.640,81.370,305,305,0,0,0
88303,0.172,0.241,0.002,-0.061,0.061,0.056,0.472,-0.505,-0.534,-0.487,0.000,0.003,4152,0,-11,9,31,16.620,81.370,305,305,0,0,0
88403,0.126,0.239,-0.089,-0.182,0.027,0.138,0.473,-0.511,-0.528,-0.487,0.000,0.002,3283,0,-7,15,31,16.620,81.370,305,305,0,0,0
88503,0.115,0.169,-0.161,-0.007,0.386,-0.061,0.476,-0.509,-0.519,-0.495,0.000,0.000,5029,0,-2,-4,31,16.640,81.370,305,305,0,0,0
88603,0.154,0.093,-0.128,0.253,0.116,-0.107,0.484,-0.496,-0.519,-0.500,0.000,0.001,5146,0,-18,1,31,16.640,81.370,305,305,0,0,0
88703,0.152,0.109,-0.055,0.232,-0.151,0.087,0.489,-0.491,-0.526,-0.492,0.000,0.001,3676,0,-21,9,31,16.630,81.370,305,305,0,0,0
88803,0.126,0.135,-0.020,0.234,-0.060,0.009,0.494,-0.489,-0.532,-0.483,0.000,0.001,4546,0,-17,5,31,16.630,81.370,305,305,0,0,0
88903,0.086,0.139,-0.048,0.237,0.029,-0.013,0.502,-0.486,-0.536,-0.475,0.000,0.001,4359,0,-15,3,30,16.650,81.370,305,305,0,0,0
89003,0.064,0.137,-0.017,0.099,-0.128,-0.010,0.506,-0.483,-0.538,-0.470,0.000,0.000,4107,0,-17,13,30,16.650,81.370,305,305,0,0,0
89103,0.056,0.180,0.072,0.114,-0.152,-0.029,0.505,-0.485,-0.543,-0.464,0.000,0.001,4305,0,-19,11,31,16.640,81.370,305,305,0,0,0
89203,0.032,0.235,0.048,0.117,-0.111,-0.034,0.505,-0.487,-0.550,-0.454,0.000,0.000,4133,0,-19,11,31,16.640,81.370,305,305,0,0,0
89303,0.033,0.267,-0.100,0.038,-0.081,-0.063,0.500,-0.491,-0.551,-0.454,0.000,0.000,4432,0,-17,14,31,16.630,81.370,305,305,0,0,0
89403,0.047,0.282,-0.232,0.028,0.233,-0.013,0.495,-0.495,-0.550,-0.456,0.000,0.001,4092,0,-9,2,31,16.630,81.370,305,305,0,0,0
89503,0.027,0.214,-0.194,0.062,0.241,0.127,0.501,-0.492,-0.542,-0.461,0.000,0.000,2727,0,-10,4,31,16.630,81.410,305,305,0,0,0
89603,-0.026,0.152,-0.118,0.047,0.288,0.117,0.510,-0.491,-0.533,-0.464,0.000,-0.000,2757,0,-6,2,31,16.630,81.410,305,305,0,0,0
89703,-0.013,0.075,-0.030,0.137,0.150,-0.264,0.514,-0.486,-0.526,-0.472,0.000,0.000,5810,0,-13,2,31,16.650,81.370,305,305,0,0,0
89803,0.134,0.046,0.041,0.273,0.064,-0.356,0.511,-0.470,-0.535,-0.480,0.000,0.001,6193,0,-16,1,31,16.650,81.370,305,305,0,0,0
