Timestamp,r_ref,q_ref,curr_ax,curr_ay,curr_az,curr_mx,curr_my,curr_mz,curr_roll_rate,curr_pitch_rate,curr_yaw_rate,curr_qw,curr_qx,curr_qy,curr_qz,thrust_ref,p_ref,omega_L_ref,omega_R_ref,servo_L_ref,servo_R_ref,Temperature,Voltage,Current,RPM2,RPM4,Throttle2,Throttle4,ErrorCodes
83753,-0.515,-0.351,9.880,-0.250,-0.650,-35.250,8.062,34.875,0.078,0.089,-0.019,0.584,-0.479,-0.461,-0.466,0.000,0.015,0,5798,12,-14,0,0.000,0.000,0,0,0,0,0
83853,-0.443,-0.319,9.720,-0.120,-0.170,-37.562,7.688,34.875,0.073,0.096,-0.053,0.577,-0.477,-0.469,-0.469,0.000,0.011,0,5332,11,-13,0,0.000,0.000,0,0,0,0,0
83953,-0.374,-0.317,9.680,-0.010,-0.060,-36.750,7.688,34.875,0.032,0.159,-0.101,0.574,-0.472,-0.474,-0.472,0.000,0.009,0,4818,15,-15,0,0.000,0.000,0,0,0,0,0
84053,-0.277,-0.306,9.940,0.400,0.080,-36.062,7.375,33.250,0.013,-0.022,-0.162,0.568,-0.466,-0.481,-0.478,0.000,0.006,0,4041,10,-9,0,0.000,0.000,305,305,0,0,0
84153,-0.233,-0.319,9.780,0.530,0.320,-37.188,7.000,33.688,0.126,0.079,-0.017,0.568,-0.461,-0.484,-0.480,0.000,0.005,0,5290,8,-18,0,0.000,0.000,305,305,0,0,0
84253,-0.191,-0.284,9.790,0.510,0.270,-37.188,6.562,34.875,0.350,-0.037,0.171,0.570,-0.454,-0.497,-0.472,0.000,0.003,0,5701,1,-18,0,0.000,0.000,305,305,0,0,0
84353,-0.198,-0.248,9.880,-0.160,-0.050,-37.562,8.875,34.062,0.417,0.022,0.166,0.576,-0.447,-0.509,-0.457,0.000,0.003,0,5440,3,-21,0,0.000,0.000,305,305,0,0,0
84453,-0.184,-0.213,9.880,0.020,-0.380,-37.188,10.688,34.062,0.402,0.032,0.024,0.583,-0.437,-0.523,-0.443,0.000,0.002,0,4542,3,-19,0,0.000,0.000,305,305,0,0,0
84553,-0.146,-0.179,9.780,-0.350,0.180,-37.188,11.500,33.688,0.324,0.059,0.036,0.587,-0.426,-0.537,-0.431,0.000,0.002,0,4607,5,-17,0,0.000,0.000,305,305,0,0,0
84653,-0.114,-0.160,9.720,-0.130,-0.080,-37.188,12.062,33.250,0.360,-0.138,-0.122,0.590,-0.416,-0.548,-0.422,0.000,0.001,0,3240,-3,-13,0,0.000,0.000,305,305,0,0,0
84753,-0.045,-0.146,9.610,0.020,-1.030,-36.750,12.500,32.062,0.297,0.107,-0.184,0.592,-0.403,-0.559,-0.417,0.000,0.000,0,2401,8,-20,0,0.000,0.000,305,305,0,0,0
84853,0.023,-0.273,9.690,0.550,1.050,-36.375,13.250,32.062,0.297,0.366,0.031,0.607,-0.381,-0.556,-0.421,0.000,-0.000,0,4387,14,-28,0,0.000,0.000,305,305,0,0,0
84953,0.048,-0.324,9.420,-0.270,0.350,-39.062,13.250,29.250,0.383,0.187,-0.128,0.617,-0.367,-0.558,-0.417,0.000,-0.001,0,1637,8,-27,0,0.000,0.000,305,305,0,0,0
85053,0.097,-0.371,9.500,0.970,1.130,-38.688,13.562,28.500,0.270,0.062,-0.003,0.625,-0.351,-0.561,-0.413,0.000,-0.001,0,3374,10,-20,0,0.000,0.000,305,305,0,0,0
85153,0.097,-0.338,9.950,0.400,-0.200,-38.250,14.375,28.750,0.114,-0.162,-0.020,0.626,-0.348,-0.569,-0.405,0.000,-0.001,0,2647,8,-11,0,0.000,0.000,305,305,0,0,0
85253,0.128,-0.303,9.850,0.960,-0.580,-38.250,14.375,28.375,0.137,-0.039,-0.117,0.623,-0.345,-0.575,-0.402,0.000,-0.001,696,0,10,-18,0,0.000,0.000,305,305,0,0,0
85353,0.181,-0.311,9.960,0.860,0.770,-39.375,15.000,29.500,0.036,0.007,-0.080,0.624,-0.338,-0.578,-0.403,0.000,-0.002,0,1193,14,-15,0,0.000,0.000,305,305,0,0,0
85453,0.193,-0.312,9.730,0.130,1.050,-38.250,13.500,29.375,0.171,-0.020,0.028,0.625,-0.335,-0.580,-0.402,0.000,-0.002,0,2553,5,-20,0,0.000,0.000,305,305,0,0,0
85553,0.189,-0.279,9.900,0.180,0.250,-38.250,13.875,27.750,0.500,-0.081,0.030,0.629,-0.327,-0.589,-0.389,0.000,-0.002,0,2072,-2,-27,32,16.360,77.870,305,305,0,0,0
85653,0.166,-0.226,9.740,0.180,-0.190,-38.250,15.750,30.250,0.428,0.068,0.047,0.633,-0.318,-0.601,-0.370,0.000,-0.001,0,2239,5,-25,32,16.360,77.870,305,305,0,0,0
85753,0.179,-0.223,9.540,0.470,0.090,-37.875,16.062,27.250,0.360,0.148,-0.074,0.639,-0.306,-0.608,-0.358,0.000,-0.001,2216,0,8,-25,32,16.360,77.910,305,305,0,0,0
85853,0.223,-0.237,9.210,0.890,-0.160,-39.375,16.375,27.688,0.198,0.012,-0.036,0.644,-0.293,-0.612,-0.353,0.000,-0.001,1201,0,9,-17,32,16.360,77.910,305,305,0,0,0
85953,0.256,-0.250,9.160,1.250,-0.550,-39.375,16.750,27.188,0.049,0.210,-0.060,0.646,-0.286,-0.614,-0.353,0.000,-0.002,2456,0,19,-21,32,16.360,77.910,305,305,0,0,0
86053,0.250,-0.326,9.310,0.940,0.420,-39.375,16.062,26.062,0.037,0.282,0.041,0.654,-0.282,-0.605,-0.356,0.000,-0.002,0,858,20,-28,32,16.360,77.870,305,305,0,0,0
86153,0.242,-0.395,9.650,0.880,1.220,-40.188,16.000,25.188,-0.048,0.171,-0.034,0.659,-0.282,-0.596,-0.363,0.000,-0.003,2787,0,21,-21,32,16.360,77.870,305,305,0,0,0
86253,0.265,-0.415,9.770,1.030,1.090,-39.375,16.250,23.562,-0.226,0.050,-0.037,0.655,-0.287,-0.591,-0.374,0.000,-0.003,2847,0,23,-15,32,16.360,77.870,305,305,0,0,0
