Timestamp,r_ref,q_ref,curr_ax,curr_roll_rate,curr_pitch_rate,curr_yaw_rate,curr_qw,curr_qx,curr_qy,curr_qz,thrust_ref,p_ref,omega_L_ref,omega_R_ref,servo_L_ref,servo_R_ref,Temperature,Voltage,RPM2,RPM4,Throttle2,Throttle4,ErrorCodes
78013,0.707,-1.589,0.440,0.036,0.059,0.113,-0.339,-0.476,0.137,-0.800,0.000,-0.026,8963,0,39,-41,0,0.000,0,0,0,0,0
78112,0.665,-1.543,0.518,-0.012,-0.270,0.026,-0.335,-0.482,0.141,-0.797,0.000,-0.023,9240,0,32,-32,0,0.000,0,0,0,0,0
78212,0.601,-1.397,0.592,0.023,-0.519,0.016,-0.329,-0.500,0.154,-0.786,0.000,-0.019,8911,0,23,-26,0,0.000,0,0,0,0,0
78312,0.525,-1.242,0.557,0.009,-0.323,0.044,-0.319,-0.520,0.165,-0.775,0.000,-0.015,8240,0,28,-29,0,0.000,0,0,0,0,0
78412,0.467,-1.113,0.430,0.078,-0.229,-0.052,-0.313,-0.536,0.175,-0.764,0.000,-0.012,8493,0,26,-31,0,0.000,0,0,0,0,0
78512,0.479,-1.015,0.388,0.162,-0.440,0.060,-0.307,-0.550,0.177,-0.757,0.000,-0.011,7819,0,15,-25,0,0.000,305,305,0,0,0
78612,0.535,-0.868,0.405,0.129,-0.516,-0.067,-0.298,-0.571,0.177,-0.744,0.000,-0.010,9008,0,15,-19,0,0.000,305,305,0,0,0
78712,0.555,-0.779,0.324,-0.059,-0.193,0.014,-0.299,-0.581,0.183,-0.734,0.000,-0.009,8632,0,27,-24,0,0.000,305,305,0,0,0
78812,0.466,-0.680,0.252,-0.058,-0.104,0.041,-0.294,-0.592,0.194,-0.725,0.000,-0.007,7860,0,25,-24,0,0.000,305,305,0,0,0
78912,0.306,-0.599,0.189,-0.161,-0.066,0.192,-0.288,-0.597,0.209,-0.718,0.000,-0.004,5245,0,27,-20,0,0.000,305,305,0,0,0
79012,0.113,-0.524,0.118,-0.144,-0.488,0.254,-0.283,-0.601,0.228,-0.712,0.000,-0.001,0,985,12,-8,0,0.000,305,305,0,0,0
79112,-0.063,-0.419,0.083,-0.066,-0.104,0.211,-0.277,-0.608,0.246,-0.702,0.000,0.001,0,4202,22,-22,0,0.000,305,305,0,0,0
79212,-0.183,-0.399,0.054,-0.024,0.161,-0.077,-0.272,-0.608,0.254,-0.702,0.000,0.002,0,1143,27,-27,0,0.000,305,305,0,0,0
79312,-0.089,-0.459,0.077,0.049,0.323,-0.207,-0.279,-0.602,0.247,-0.706,0.000,0.001,4871,0,30,-34,0,0.000,305,305,0,0,0
79412,0.034,-0.536,0.170,0.137,0.094,-0.063,-0.287,-0.596,0.237,-0.712,0.000,-0.000,4782,0,22,-30,0,0.000,305,305,0,0,0
79512,0.024,-0.541,0.094,0.172,-0.011,0.028,-0.282,-0.596,0.233,-0.714,0.000,-0.000,3417,0,21,-30,0,0.000,305,305,0,0,0
79612,0.136,-0.517,-0.200,0.020,-0.201,-0.313,-0.284,-0.602,0.227,-0.711,0.000,-0.002,7987,0,20,-20,0,0.000,305,305,0,0,0
79712,0.315,-0.510,0.027,-0.084,0.312,-0.174,-0.293,-0.606,0.220,-0.706,0.000,-0.003,8298,0,40,-35,0,0.000,305,305,0,0,0
79812,0.365,-0.657,0.106,-0.066,0.486,-0.050,-0.305,-0.588,0.213,-0.718,0.000,-0.005,7784,0,42,-41,0,0.000,305,305,0,0,0
79912,0.322,-0.748,0.177,-0.108,0.200,0.207,-0.308,-0.576,0.212,-0.727,0.000,-0.005,5260,0,38,-33,0,0.000,305,305,0,0,0
80012,0.157,-0.797,0.184,-0.114,0.138,0.226,-0.305,-0.566,0.220,-0.734,0.000,-0.003,2696,0,39,-34,0,0.000,305,305,0,0,0
80112,-0.031,-0.832,0.208,-0.241,0.231,0.318,-0.302,-0.556,0.231,-0.739,0.000,0.001,0,5030,47,-36,0,0.000,305,305,0,0,0
80212,-0.247,-0.879,0.235,0.026,-0.016,0.300,-0.297,-0.545,0.241,-0.746,0.000,0.005,0,7176,32,-37,0,0.000,305,305,0,0,0
80312,-0.414,-0.847,0.166,0.003,-0.194,0.152,-0.285,-0.547,0.248,-0.747,0.000,0.009,0,7716,31,-31,0,0.000,305,305,0,0,0
80412,-0.465,-0.793,0.085,-0.028,-0.143,-0.027,-0.280,-0.552,0.253,-0.743,0.000,0.010,0,7097,34,-32,0,0.000,305,305,0,0,0
80512,-0.479,-0.745,0.011,-0.069,-0.081,0.037,-0.279,-0.557,0.258,-0.738,0.000,0.010,0,7976,37,-33,0,0.000,305,305,0,0,0
80613,-0.517,-0.728,0.017,-0.044,0.102,0.064,-0.278,-0.558,0.261,-0.737,0.000,0.010,0,8732,41,-38,0,0.000,305,305,0,0,0
80713,-0.550,-0.739,0.041,-0.063,-0.032,-0.056,-0.279,-0.555,0.264,-0.738,0.000,0.011,0,8329,36,-34,0,0.000,305,305,0,0,0
80813,-0.531,-0.724,0.016,0.064,-0.063,0.036,-0.279,-0.558,0.264,-0.736,0.000,0.010,0,8794,33,-37,0,0.000,305,305,0,0,0
80913,-0.571,-0.708,0.025,-0.038,0.021,0.048,-0.275,-0.559,0.265,-0.736,0.000,0.011,0,9115,40,-36,0,0.000,305,305,0,0,0
81013,-0.572,-0.709,0.048,-0.017,-0.011,-0.141,-0.277,-0.558,0.267,-0.735,0.000,0.011,0,7898,37,-37,28,14.530,305,305,0,0,0
81113,-0.495,-0.701,0.050,0.016,-0.038,-0.056,-0.280,-0.561,0.263,-0.733,0.000,0.009,0,7959,37,-37,28,14.530,305,305,0,0,0
81213,-0.477,-0.685,0.005,-0.019,-0.006,-0.003,-0.281,-0.563,0.263,-0.731,0.000,0.009,0,8194,39,-38,28,14.530,305,305,0,0,0
81313,-0.508,-0.709,0.027,-0.046,0.122,0.046,-0.282,-0.559,0.265,-0.733,0.000,0.010,0,8712,44,-41,28,14.530,305,305,0,0,0
81413,-0.570,-0.724,0.041,-0.032,0.031,0.057,-0.281,-0.556,0.268,-0.735,0.000,0.011,0,9162,41,-39,28,14.530,305,305,0,0,0
81513,-0.608,-0.734,0.018,0.037,0.019,0.047,-0.279,-0.554,0.269,-0.737,0.000,0.012,0,9328,40,-42,28,14.520,305,305,0,0,0
81613,-0.634,-0.744,0.044,0.076,0.061,0.018,-0.276,-0.553,0.268,-0.739,0.000,0.013,0,9309,41,-45,28,14.520,305,305,0,0,0
